sentence,ner
"Asia Bibi pochodzi z wioski Ittanwali w Pakistanie .",B-PER I-PER O O O B-LOC O B-LOC O
"Jest chrześcijanką , żoną Asiqa Masiha i matką pięciorga dzieci .",O O O O B-PER I-PER O O O O O
"Wioska Ittanwali była w czerwcu 2009 zamieszkana przez ok . 1500 rodzin , z czego 3 rodziny stanowiły mniejszość chrześcijańską .",O B-LOC O O O O O O O O O O O O O O O O O O O
"14 czerwca 2009 Asia Bibi pracowała w polu ze swoimi muzułmańskimi koleżankami przy zbiorach falsy .",O O O B-PER I-PER O O O O O O O O O O O
"Ze względu na panujący tego dnia upał kobieta napiła się wody ze znajdującej się na polu studni .",O O O O O O O O O O O O O O O O O O
"Niektóre z jej muzułmańskich koleżanek uznały wówczas , że woda ze studni stała się „ nieczysta ” , ponieważ napiła się z niej chrześcijanka .",O O O O O O O O O O O O O O O O O O O O O O O O O
"Koleżanki Asi Bibi dodały , że aby mogła się napić , chrześcijanka musi przejść na islam .",O B-PER I-PER O O O O O O O O O O O O O O
"W odpowiedzi Asia Bibi wypowiedziała m.in . słowa : „ Jezus Chrystus umarł za moje grzechy i za grzechy świata .",O O B-PER I-PER O O O O O O B-PER I-PER O O O O O O O O O
"A co zrobił Mahomet dla ludzi ? ” .",O O O B-PER O O O O O
"Natychmiast po wypowiedzeniu tych słów Asia Bibi została poturbowana i uciekła z miejsca zdarzenia .",O O O O O B-PER I-PER O O O O O O O O
"Według niektórych źródeł rzeczywistym powodem incydentu był spór między Asią Bibi a jedną z jej muzułmańskich sąsiadek o zniszczenie mało wartościowego przedmiotu .",O O O O O O O O O B-PER I-PER O O O O O O O O O O O O
"Chrześcijanka skazana na śmierć za obrazę Mahometa .",O O O O O O B-PER O
"Sąd Najwyższy zmienił wyrok",B-ORG I-ORG O O
"Sąd w Pakistanie unieważnił wyrok śmierci na chrześcijance , która została oskarżona o bluźnierstwo przeciw Mahometowi– podaje BBC .",O O B-LOC O O O O O O O O O O O O O O B-PRO O
"Sprawa Asii Bibi od lat dzieliła pakistańskie społeczeństwo .",O B-PER I-PER O O O O O O
"W walkę o życie kobiety włączył się m.in . papież Franciszek .",O O O O O O O O O O B-PER O
"Wszystko zaczęło się w czerwcu 2009 roku , kiedy to Asia Bibi pokłóciła się z grupą sąsiadek podczas zbioru owoców w małej miejscowości Itanwali w Pendżabie .",O O O O O O O O O O B-PER I-PER O O O O O O O O O O O B-LOC O B-LOC O
"Kobieta , która jest chrześcijanką , wypiła wodę z kubka , wobec czego pracujące w tym samym miejscu muzułmanki uznały , że nie mogą go używać , bo stał się „ nieczysty ” .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"W trakcie awantury , która w związku z tym wybuchła , inne kobiety zaczęły żądać od Bibi , by nawróciła się na islam .",O O O O O O O O O O O O O O O O B-PER O O O O O O O
"Ta miała odpowiedzieć , obrażając trzykrotnie proroka Mahometa .",O O O O O O O B-PER O
"Do kolejnej konfrontacji doszło po powrocie chrześcijanki do domu .",O O O O O O O O O O
"Tam Asia Bibi została pobita i – według oskarżycieli – przyznała się do bluźnierstwa .",O B-PER I-PER O O O O O O O O O O O O
"Sąsiedzi złożyli zawiadomienie na policję , a kobietę aresztowano .",O O O O O O O O O O
"Podczas procesu w 2010 roku chrześcijanka została uznana winną obrazy muzułmańskiego proroka .",O O O O O O O O O O O O O
"Asię Bibi , matkę czworga dzieci , skazano na karę śmierci .",B-PER I-PER O O O O O O O O O O
"„ Wypuszczą mnie , naprawdę ? ”",O O O O O O O
"Kobieta przez osiem lat pozostawała w więzieniu , podczas gdy jej obrońcy walczyli o zmianę wyroku .",O O O O O O O O O O O O O O O O O
"Sprawa podzieliła Pakistan , a o wolność dla Bibi apelowali chrześcijanie z całego świata .",O O B-LOC O O O O O B-PER O O O O O O
"Wszyscy czekali na postanowienie Sadu Najwyższego , do którego odwołali się adwokaci chrześcijanki .",O O O O B-ORG I-ORG O O O O O O O O
"Ten w środę uniewinnił Aasię Bibi .",O O O O B-PER I-PER O
"Sędzia Saqib Nisarm nakazał jej natychmiastowe uwolnienie , jeśli nie została skazana za inne przestępstwo .",O B-PER I-PER O O O O O O O O O O O O O
"W uzasadnieniu wyroku podkreślono , że decyzja sądu pierwszej instancji została podjęta pochopnie na podstawie przyznania się kobiety do winy pod presją tłumu , który ją pobił i groził jej śmiercią .",O O O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O
"Bibi nie była obecna na sali sądowej podczas odczytywania wyroku , ale udzieliła krótkiego komentarza agencji AFP przez telefon .",B-PER O O O O O O O O O O O O O O O B-ORG O O O
"– Nie mogę uwierzyć w to , co słyszę .",O O O O O O O O O O
"Mogę wyjść ?",O O O
"Wypuszczą mnie , naprawdę ? – dopytywała zaskoczona .",O O O O O O O O O
"Czym jest bluźnierstwo w Pakistanie ?",O O O O B-LOC O
"BBC przytacza przepisy pakistańskiego prawa , które pozwoliły na zasądzenie chrześcijance tak surowego wyroku .",B-PRO O O O O O O O O O O O O O O
"Legislatur w tym zakresie została znacznie zaostrzona w latach 80 . za rządów generała Muhammada Zia-ul-Haqa .",O O O O O O O O O O O O O O B-PER I-PER O
"W 1986 do kodeksu wprowadzono przepis , na mocy którego za obrazę proroka Mahometa grozi kara „ śmierci albo dożywotniego więzienia ”",O O O O O O O O O O O O O B-PER O O O O O O O O
"Pomógł w uwolnieniu chrześcijanki skazanej za bluźnierstwo .",O O O O O O O O
"Uciekł ze strachu przed zemstą",O O O O O
