sentence,ner
"Veřejně oběsit , žádají radikálové .",O O O O O O
"Pákistánskou křesťanku jen tak neosvobodí , změnila ale věznici",O O O O O O O O O
"Pákistánská křesťanka Asia Bibiová , která byla před osmi lety odsouzena k trestu smrti za urážku islámského proroka Mohameda a před týdnem byla zproštěna viny , zůstává nadále ve vězení , ale podle informací agentury AP byla ve středu převezena do bezpečnějšího zařízení v Islámábádu .",O O B-PER I-PER O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O B-ORG O O O O O O O O B-LOC O
"Podle AFP nelze očekávat , že by žena byla v nejbližší době propuštěna .",O B-ORG O O O O O O O O O O O O
"Převoz z provincie Paňdžáb do Islámábádu provázela přísná bezpečnostní opatření .",O O O B-LOC O B-LOC O O O O O
"Silnice vedoucí na letiště střežili vojáci , informovala agentura AP s odvoláním na oficiální činitele , kteří si nepřáli být jmenováni , protože nejsou oprávnění komunikovat s médii .",O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O
"Rozhodnutí pákistánského nejvyššího soudu z minulé středy vyvolalo v Pákistánu demonstrace radikálních muslimů , kteří požadovali , aby aby by žena byla veřejně oběšena .",O B-ORG I-ORG I-ORG O O O O O B-LOC O O O O O O O O O O O O O
"Demonstranti , kteří kromě popravy Bibiové požadovali i smrt trojice soudců , kteří křesťanku osvobodili , blokovali silnice spojující Islámábád s jinými velkými pákistánskými městy .",O O O O O B-PER O O O O O O O O O O O O O B-LOC O O O O O O
"Protesty skončily až poté , co pákistánské úřady slíbily , že propuštění Bibiové odloží a nedovolí jí opustit zemi .",O O O O O O O O O O O O B-PER O O O O O O O
"Vzhledem k této dohodě setrvává Bibiová navzdory zproštění viny dál ve věznici .",O O O O O B-PER O O O O O O O
"Před převozem byla Asia Bibiová ve věznici ve městě Multán , sdělil AFP nejvyšší představitel vězeňské správy provincie Paňdžáb Zavar Husain Varaič .",O O O B-PER I-PER O O O O B-LOC O O B-ORG O O O O O B-LOC B-PER I-PER I-PER O
"„ Obvykle dostáváme příkaz k propuštění dva dny po vynesení rozsudku , a pokud jsou příbuzní a právníci vězně hodně aktivní , mohou dosáhnout propuštění i během jednoho dne .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Ale co se týče Asii Bibiové , takový příkaz nepřišel , “ dodal .",O O O O B-PER I-PER O O O O O O O O
"Jeden z místních duchovních , který v roce 2009 obvinil Bibiovou z rouhání , se již minulý týden obrátil na nejvyšší soud s žádostí , aby aby by osvobozující verdikt zvrátil .",O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O
"Islamistická strana Tehríke Labajk ( TLP ) , která stála v čele protestů , varovala , že její přívrženci jsou připraveni se do ulic vrátit .",O O B-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O
"Několik zemí nabídlo Bibiové azyl , mimo jiné Itálie , Francie či Španělsko .",O O O B-PER O O O O B-LOC O B-LOC O B-LOC O
"Více než 40 francouzských intelektuálů podepsalo výzvu k propuštění Bibiové .",O O O O O O O O O B-PER O
"Výzva , kterou inicioval francouzský filozof Daniel Salvatore Schiffer , byla ve středu zveřejněna v listu Le Figaro .",O O O O O O B-PER I-PER I-PER O O O O O O O B-PRO I-PRO O
"Mezi signatáři jsou dále například bývalý francouzský ministr spravedlnosti Robert Badinter s manželkou , filozofkou Elisabeth Badinterovou , někdejší ministr školství a filozof Luc Ferry , filozof Robert Redeker , politolog Pierre - André Taguieff či právník a vydavatel Jean - Claude Zylberstein .",O O O O O O O O O B-PER I-PER O O O O B-PER I-PER O O O O O O B-PER I-PER O O B-PER I-PER O O B-PER I-PER O O O O O O B-PER I-PER I-PER I-PER O
"V další výzvě vyjádřili znepokojení nad osudem Asii Bibiové také francouzští biskupové .",O O O O O O O B-PER I-PER O O O O
"„ Ve jménu základních lidských práv vyzýváme k ochraně života Bibiové , jejích příbuzných a obhájců a modlíme se za ně , “ píše se v prohlášení .",O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O
"V pondělí starostka Paříže Anne Hidalgová uvedla , že je připravena přivítat Bibiovou a její rodinu ve francouzské metropoli .",O O O B-LOC B-PER I-PER O O O O O O B-PER O O O O O O O
"Italská vláda tento týden uvedla , že je připravena pomoci najít řešení , které by Bibiové „ zajistilo budoucnost “ .",O O O O O O O O O O O O O O O B-PER O O O O O
"„ Udělám vše , co je v lidských silách , abych aby bych této ženě zabezpečil budoucnost , “ napsal na twitteru italský ministr vnitra Matteo Salvini .",O O O O O O O O O O O O O O O O O O O B-PRO O O O B-PER I-PER O
"Také italské ministerstvo zahraničí uvedlo , že je připraveno podniknout všechny kroky , o nichž by mohla vláda v této záležitosti rozhodnout .",O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O
"Italská katolická asociace ACS , která podporuje nejen Bibiovou , ale všechny perzekvované křesťany na světě , oznámila , že se na ni obrátil s prosbou o pomoc Asiin manžel .",B-ORG I-ORG I-ORG B-ORG O O O O B-PER O O O O O O O O O O O O O O O O O O O B-PER O O
"Ve videonahrávce zveřejněné na stránkách ACS Ašik Masíh prosí italskou vládu o pomoc s odjezdem ze země , protože jejich životní podmínky v Pákistánu jsou čím dál tím těžší .",O O O O O B-ORG B-PER I-PER O O O O O O O O O O O O O O O B-LOC O O O O O O
"„ Máme velké obavy , protože náš život je ohrožený .",O O O O O O O O O O O
"Už ani nemáme co jíst , protože nemůžeme vycházet ven , abychom aby bychom si nakoupili , “ říká v nahrávce Masíh podle italského překladu .",O O O O O O O O O O O O O O O O O O O B-PER O O O O
