index,sentence,ner
17745,PREUSMJERI Državna cesta D43,O B-ORG I-ORG I-ORG
6510,Bio je sa područja Nevesinja .,O O O O B-LOC O
1624,PREUSMJERI Svjetsko prvenstvo u nogometu 2002 .,O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
3966,Nasljeđuje ga posinak Tiberije .,O O O B-PER O
15202,Rattus giluwensis – Papua Nova Gvineja,O O O B-LOC I-LOC I-LOC
4550,Autoput A1 ( Bosna i Hercegovina ),B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
10993,Preusmjeri Međunarodna federacija veksiloloških udruženja,O B-ORG I-ORG I-ORG I-ORG
11813,IRIB-Bosanski radio program se emituje iz Teherana .,O O O O O O B-LOC O
1813,"Naslijedio ga je najstariji sin , Alfons V .",O O O O O O B-PER I-PER O
9928,Preusmjeri Georg Wilhelm Friedrich Hegel,O B-PER I-PER I-PER I-PER
17766,Mr. Bad Guy,B-ORG I-ORG I-ORG
14589,Spisak općina u Hrvatskoj,B-LOC I-LOC I-LOC I-LOC
14384,Prvo otkriće je napravio Edward Emerson Barnard .,O O O O B-PER I-PER I-PER O
14854,Vidosav Stevanović ;,B-PER I-PER O
17944,Naslijedio ga je njegov brat Jakov .,O O O O O B-PER O
4200,Björn Borg,B-PER I-PER
8187,Mate Boban dao ostavku na poziciju predsjednika ‘Herceg-Bosne’ .,B-PER I-PER O O O O O O O
5842,Sergio Pérez,B-PER I-PER
4299,Jenson Button,B-PER I-PER
13376,Španija ( Balearska ostrva ),B-LOC O B-LOC I-LOC O
10606,"Naslijedio ga je unuk , Luj XVI .",O O O O O B-PER I-PER O
13953,"Do 1981. dio podataka je sadržan , a u 1991. sadrži dio podataka grada Orahovice .",O O O O O O O O O O O O O O B-LOC O
10968,Škotska je svoje takmičenje na SP 1986 završila u grupnoj fazi .,B-ORG O O O O B-ORG I-ORG O O O O O
4920,Preusmjeri Socijalistička republika Crna Gora,O B-LOC I-LOC I-LOC I-LOC
13298,godine svoje zdravlje krijepio Dositej Obradović .,O O O O B-PER I-PER O
1073,Prva liga FBIH,B-ORG I-ORG I-ORG
16030,Poljska,B-LOC
14079,Demokratska stranka ( SAD ),B-ORG I-ORG I-ORG I-ORG I-ORG
6084,Felipe Massa vozač za testiranje,B-PER I-PER O O O
16122,Giancarlo Fisichella - vozač za testiranje,B-PER I-PER O O O O
6181,Preusmjeri Miguel de Cervantes,O B-PER I-PER I-PER
1844,Papa Aleksandar II ( 1061-1073 ),B-PER I-PER I-PER O O O
17414,PREUSMJERI Svjetsko prvenstvo u nogometu 1998 - nokaut faza,O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
7316,Škotska,B-LOC
17142,Plutarh ( 75 ) .,B-PER O O O O
1933,Tefsir Ibn-Kesira,B-ORG I-ORG
3691,Sjedište brigade je bilo u Travniku a okupljala je uglavnom borce iz Bosanske krajine po čemu je i dobila naziv .,O O O O O B-LOC O O O O O O B-LOC I-LOC O O O O O O O
6895,"Među najveće uspjehe u evropskim takmičenjima spadaju pobjede nad Juventusom od 1-0 1979. godine , te nad Athletic Bilbaom sa 3-0 1973. godine .",O O O O O O O O O B-ORG O O O O O O O B-ORG I-ORG O O O O O
10243,Preusmjeri Savezne države Sjedinjenih Američkih Država,O B-LOC I-LOC I-LOC I-LOC I-LOC
13897,K Kevin Garnett - Boston Celtics,O B-PER I-PER O B-ORG I-ORG
541,Čehoslovačka,B-LOC
7297,"75300 - Lukavac , BH Pošta",O O B-LOC O O O
17305,Spisak općina u Hrvatskoj,B-LOC I-LOC I-LOC I-LOC
3118,"75280 - Kladanj , BH Pošta",O O B-LOC O O O
15579,"Mostar , Bosna i Hercegovina",B-LOC O B-LOC I-LOC I-LOC
15393,"pokušao osvojiti Normandiju , ali je oba puta bio poražen .",O O B-LOC O O O O O O O O
4643,godine pogledati pod Dubrovnik .,O O O B-LOC O
18031,Preusmjeri Thomas Müller ( nogometaš ),O B-PER I-PER I-PER I-PER I-PER
16985,PREUSMJERI NBA 1971 / 1972 .,O B-ORG I-ORG I-ORG I-ORG I-ORG
6850,"U selu ima nekoliko izvora , a mjerenjima je utvrđeno da vode sa ovog područja podzemnim putem odlaze u rijeku Sanu .",O O O O O O O O O O O O O O O O O O O O B-LOC O
5542,Reprezentativac od 2002. godine .,B-ORG O O O O
