index,sentence,ner
9425,Telefonický rozhovor mezi Merkelou a Putinem se uskutečnil v pondělí večer .,O O O O O B-PER O O O O O O
8837,Handelsblatt : Německo nepotřebuje kupovat americký plyn !,B-PRO O B-LOC O O O O O
3279,Evropská komise ve středu schválila a zveřejnila návrh právního textu dohody o vystoupení Velké Británie z Evropské unie .,B-ORG I-ORG O O O O O O O O O O O B-LOC I-LOC O B-ORG I-ORG O
1458,"Brusel se přitom s Londýnem dříve dohodl na "" nouzovém "" řešení otázky irské hranice , při němž by Severní Irsko prakticky setrvalo v jednotném trhu EU , aby aby by se zabránilo obnovení klasických hraničních kontrol .",B-LOC O O O B-LOC O O O O O O O O O O O O O O B-LOC I-LOC O O O O O B-ORG O O O O O O O O O
8677,"Moskva je připravena vyjít vstříc Berlínu , který by chtěl vidět určitou část plynu dále proudit do západní Evropy přes území Ukrajiny , a to navzdory výstavbě „ Nord Streamu - 2 “ , sdělil korespondent německého deníku .",B-LOC O O O O B-LOC O O O O O O O O O O O B-LOC I-LOC O O B-LOC O O O O O O B-PRO I-PRO I-PRO I-PRO O O O O O O O
25,"Italská katolická asociace ACS , která podporuje nejen Bibiovou , ale všechny perzekvované křesťany na světě , oznámila , že se na ni obrátil s prosbou o pomoc Asiin manžel .",B-ORG I-ORG I-ORG B-ORG O O O O B-PER O O O O O O O O O O O O O O O O O O O B-PER O O
1355,"„ Vedle ekonomických přínosů je pro nás EU také důležitou právní pojistkou a do jisté míry nás tak může chránit před námi samými , což se někdy také může hodit , “ dodal ekonom .",O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O
5127,"Očkování proti covidu dostanou nejdřív ohrožení , zaplatí ho stát , navrhují experti",O O B-EVT O O O O O O O O O O
8372,"Nord Stream 2 dělá Evropu zranitelnější , "" uvedl Mitchell po schůzce se státním tajemníkem ( náměstkem ) slovenského ministerstva zahraničí Ivanem Korčokem .",B-PRO I-PRO I-PRO O B-LOC O O O O B-PER O O O O O O O O O O O B-PER I-PER O
7040,28 . 1 . 2020 18.39 | Autor Zdeněk Drgáč,O O O O O O O O B-PER I-PER
3376,"Španělsko zase do závěrů summitu vneslo připomínku , že je třeba vyřešit otázku britského Gibraltaru , který se nachází na jihu Španělska .",B-LOC O O O O O O O O O O O O O B-LOC O O O O O O B-LOC O
8053,Nord Stream 2 má být hotový do konce příštího roku .,B-PRO I-PRO I-PRO O O O O O O O O
1670,"Dnes , pokud je dobrý den , jich přijde hrstka .",O O O O O O O O O O O
5281,"V den Putinova prohlášení ruská vicepremiérka Taťjana Golikovová zároveň sdělila , že by vakcinace novým preparátem mohla začít koncem srpna nebo začátkem září .",O O B-PER O O O B-PER I-PER O O O O O O O O O O O O O O O O
11324,"Podle čísel Evropské organizace pro bezpečnost leteckého provozu Eurocontrol přiletělo v červnu na čas jen 32 , 7 procent letadel , vloni to bylo 38 , 8 , což je sice lepší , ale také ne příliš lichotivé číslo .",O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
7182,"Komise ovlivněná lobbisty ze skupiny FairSearch zastupující dotčené strany tvrdí , že služba Google Nákupy ničí podnikání e - shopů a jiných srovnávačů cen .",O O O O O B-ORG O O O O O O O B-MISC I-MISC O O O O O O O O O O
4198,"Ukázalo se to být méně zlým , než jsme si původně mysleli , “ uvedl Cameron v rozhovoru s indickým ocelářem Lakshmim Mittalem , který je rovněž v Davosu .",O O O O O O O O O O O O O O O B-PER O O O O O B-PER I-PER O O O O O B-LOC O
12052,"Obě strany slibují , že jsou připraveny bojovat o vítězství u soudu .",O O O O O O O O O O O O O
235,Matku čtyř dětí soud nařídil propustit na svobodu .,O O O O O O O O O
4068,"EU chce mít například možnost omezit přístup Británie na svůj trh pro případ , že by v přechodném období po brexitu porušila dohodnutá pravidla .",B-ORG O O O O O O B-LOC O O O O O O O O O O O O B-EVT O O O O
8644,Projekt Nord Stream 2 je v podstatě rozšířením současného potrubí .,O B-PRO I-PRO I-PRO O O O O O O O
916,Zůstává ale v ochranné vazbě,O O O O O
4174,Většině Poláků se navíc ze Spojeného království zpět do své rodné země nechce .,O B-PER O O O B-LOC I-LOC O O O O O O O
8231,Podle těchto zemí jde stavba proti zájmům EU a obsahuje riziko další destabilizace Ukrajiny .,O O O O O O O B-ORG O O O O O B-LOC O
1520,"Do obchodu po brexitu zasáhne pragmatismus , věří čeští optimisté",O O O B-EVT O O O O O O
3744,"Farage prohlásil , že "" dobře organizovaná a financovaná skupina těch , kteří v unii chtějí zůstat , chce potopit ty , kdo chtějí odejít "" .",B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
2319,"Jeho slova by měla zřejmě vyvrátit analýzu vypracovanou britskými úřady , která se nedávno dostala neplánovaně na veřejnost a podle níž odchod Británie z Evropské unie ( EU ) zemi hospodářsky poškodí , ať už budou podmínky dohody uzavřené s Bruselem jakékoliv .",O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-ORG I-ORG O B-ORG O O O O O O O O O O O O B-LOC O O
2885,"Mluvčí Mayové vzápětí sdělil , že spor je věcí vyjednávání .",O B-PER O O O O O O O O O
6564,V Izraeli se lidé nakazili i krátce po očkování .,O B-LOC O O O O O O O O
