index,sentence,ner
3902,"Na slovesnosti so javno povedali , da bo stranka na predsedniških volitvah podprla neodvisnega kandidata Franceta Arharja , nekdanji guverner Banke Slovenije , ki se je slavnostne akademije tudi udeležil , pa se je zbranim zahvalil za podporo .",O O O O O O O O O O O O O O O B-PER I-PER O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O
433,» Ker so mi tako govorili .,O O O O O O O
957,"Kaže , da Sloveniji ni mar za svoje imetje , za svoje ljudi in zato ne čudi izjava Franca Droleta , predsednika kobariške mlekarne , na včerajšni tiskovni konferenci : "" Če Ljubljani ni mar za nas , se bomo pa priključili Furlaniji in prodajali mleko v Videm .",O O O B-LOC O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O B-LOC O O O O O O O O O B-LOC O O O O B-LOC O
941,Na desni strani je bila v zlatih črkah legenda imen in lokacij različnih nepremičnin .,O O O O O O O O O O O O O O O
1015,"Do tega je upravičen le upravljalec javne poti ( občina , komunalno podjetje ) , kamor naslovite vaš zahtevek .",O O O O O O O O O O O O O O O O O O O O
7413,"Prav bi bilo , če bi tudi vi ponudili kakšno denarno pomoč , če to zmorete , seveda .",O O O O O O O O O O O O O O O O O O O
1902,"Nekateri znanstveniki vidijo gensko tehnologijo kot podaljšek klasičnega križanja oziroma kot eno izmed metod žlahtnenja , ki nam je danes omogočena zaradi razvoja in ravni znanja , s katerim razpolagamo .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3323,"Toda po pogovoru z Jurijem Schollmayerjem je bilo jasno , da iz tega ne bo nič , saj naj bi mu Zeleni Jurij ponudil bistveno manj .",O O O O B-PER I-PER O O O O O O O O O O O O O O O B-PER I-PER O O O O
8982,Vendar ali se s tem motivom lahko identificiramo prebivalci Slovenije ?,O O O O O O O O O B-LOC O
205,"Nokia 7270 ima na boku gumb , ki je namenjen samo tej funkciji .",B-MISC I-MISC O O O O O O O O O O O O
1276,"Tale je iz Amerike , pa ne zato , ker bi bil pisec letos stopil na tla obljubljene dežele .",O O O B-PER O O O O O O O O O O O O O O O O
6821,"Pismo o nameri v teh dneh kroži po občinskih svetih , z njim pa bo postalo jasno , kdo vse se bo vključil v projekt .",O O O O O O O O O O O O O O O O O O O O O O O O O O
9317,"Sektor za finance , računovodstvo in kontroling , sektor za razvoj , posamezni člani uprave in služba za odnose z javnostmi so poročilo za poslovno leto 1999 začeli pripravljati novembra 1999 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1389,Nič novega !,O O O
4862,Dobro nastopate .,O O O
355,"To bo bivak , vreden zadnjih dni .",O O O O O O O O
7350,"Veliki brat je pozabljen , na sceno stopa Veliki želodec .",O O O O O O O O O O O
6397,"Če jih želimo zares obvladati ( torej : če želimo obvladati tudi njihovo strogo opredeljeno raven izraza ter znanja , ki so potrebna za oblikovanje njihovih ravni vsebine ) moramo iti skozi v principu formalen proces izobraževanja ; strokovno specializirano izobraževanje kot predpogoj dejanske uporabe pravnega diskurza je prav tako element , po katerem se ta idiom razlikuje od administrativnega diskurza ( za katerega moramo večinoma imeti ali strokovno nespecializirano izobrazbo ali izobrazbo za različne specializacije ) ter od političnega diskurza ( ki večinoma zahteva obče in nespecializirano znanje ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4901,"Lepota je minljiva , dobrota pa trajna , pravi ljudska modrost .",O O O O O O O O O O O O
3000,Varnostnik iz kombija pobere palice za golf .,O O O O O O O O
5300,"Največ električnih šokov so preiskovanci zadali pri temperaturah med 33 ° C do 35 ° C , ko so jih sprožali tudi povsem brez razloga .",O O O O O O O O O O O O O O O O O O O O O O O O O O
4012,Čajanko je obiskala tudi Helena Blagne Zaman .,O O O O B-PER I-PER I-PER O
2542,In tu smo že pri začetku razlage o kloniranju .,O O O O O O O O O O
8833,"Če bi bili drugi modrejši , bi se lahko iztrgali iz začaranega kroga boja za čast in oblast , ter potegnili s seboj tudi Nemčijo .",O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O
7297,"Tedaj , ko je prisesek aktiven ( ko je piškur prisesan ) , skozi te odprtine voda priteka in odteka , sveža voda pa prinaša kisik v kri .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6901,Najpomembnejši predmeti samostanske zakladnice so razstavljeni v cerkvi sv. Dimitrija .,O O O O O O O B-LOC I-LOC I-LOC O
971,( re / foto : Bojan Velikonja ),O O O O O B-PER I-PER O
3518,"Treba bo namreč sprejeti izhodišče , da ob znanih lastnikih kapitala ti učinkovito skrbijo in seveda zagotavljajo , da tak kapital ne izgine .",O O O O O O O O O O O O O O O O O O O O O O O O
214,"Vpišemo številko čevlja ali konfekcijsko številko in poda nam vrednosti na Japonskem , v Mehiki , Veliki Britaniji , ZDA …",O O O O O O O O O O O B-LOC O O B-LOC O B-LOC I-LOC O B-LOC O
7698,"Zadnja seja odbora je bila še posebej slovesna tudi zaradi prisotnosti žužemberškega rojaka , skladatelja Vinka Globokarja , letošnjega Prešernovega nagrajenca .",O O O O O O O O O O O O O O O B-PER I-PER O O O O O
3403,"Upam , da podjetni turistični delavci , medtem ko bodo širili Pohorje , ne bodo pozabili na to , da je svet že zdavnaj izumil kabelsko televizijo .",O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O
