sentence,ner
"Zračne odbrambeno-oružane snage Japana",B-ORG I-ORG I-ORG I-ORG
"Preusmjeri Vaterpolo na Olimpijskim igrama 1924 .",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Kompletna promjena privrednog sistema uvođenjem samoupravljanja nije naišla na jednodušno odobravanje u KPJ .",O O O O O O O O O O O O B-ORG O
"CNN izvještava da će album biti ekskluzivno pušten u prodaju preko lanca trgovina Starbucks , a ekskluziva bi trajala šest sedmica .",B-ORG O O O O O O O O O O O O O O O O O O O O O
"Preusmjeri Carl von Linné",O B-PER I-PER I-PER
"Lewis Hamilton",B-PER I-PER
"*Dalje su bile prisutne demonstracije i neredi u Sjevernoj Irskoj .",O O O O O O O O B-LOC I-LOC O
"Felipe Massa",B-PER I-PER
"godine koje je Jugoslavija osvojila .",O O O B-LOC O O
"godine dobija poziv i učestvuje na međunarodnoj izložbi u Rimu .",O O O O O O O O O B-LOC O
"Alessandro Volta , 1745–1827",B-PER I-PER O O
"Atlético Madrid ( 7 .",B-ORG I-ORG O O O
"godine u sastav grada ušlo je naselje Štefanec do tada u sastavu općine Mala Subotica .",O O O O O O O B-LOC O O O O O B-LOC I-LOC O
"Hrvatska stranka prava Bosne i Hercegovine",B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"On je u značajnoj mjeri oponašao Petrarku .",O O O O O O B-PER O
"Novine su objavljivanje u Umeåu , Västerbotten .",O O O O B-LOC O B-LOC O
"preusmjeri Afrički kup nacija 2012 .",O B-ORG I-ORG I-ORG I-ORG I-ORG
"Nakon toga je izgubio meč protiv Novaka Đokoviča sa rezultatom 6-2 6-2 6-4 , i tako izjednačio rezultat na 2-2 .",O O O O O O B-PER I-PER O O O O O O O O O O O O O
"Putovao je u Dresden da prisustvuje otvaranju novoizgrađene operske kuće .",O O O B-LOC O O O O O O O
"Rubens Barrichello",B-PER I-PER
"Almendares ( bejzbol klub )",B-ORG I-ORG I-ORG I-ORG I-ORG
"Drina Zvornik",B-ORG B-LOC
