index,sentence,ner
13071,Bistvo zakonske novele je prehod iz obdavčitve na podlagi cene avtomobilov na obdavčitev po izpustih CO2 .,O O O O O O O O O O O O O O O O O
12747,"Po prometu sledi Telekom ( 160 tisoč evrov ) , katerega tečaj je ostal tik pod 65 evri .",O O O B-ORG O O O O O O O O O O O O O O O
11751,"Ali glede na to poročilo obstajajo kakšne možnosti , da se ta podjetja še lahko rešijo ali pa jim preostane le bankrot ?",O O O O O O O O O O O O O O O O O O O O O O O
16180,"Brez NOB po njegovih besedah ne bi bilo slovenske države , najverjetneje pa ne niti slovenskega naroda , ki se je na ta način uvrstil v zmagovito koalicijo združenih narodov .",O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1200,Pahor z optimizmom ocenjuje prihodnje možnosti podjetja Boxmark .,B-PER O O O O O O B-ORG O
9344,"Predlagatelje smo pozvali , naj se odločijo , katero sejo želijo sklicati in s kakšnim dnevnim redom , "" je o tem dejal pooblaščeni odvetnik Franci Matoz .",O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O
11674,Bernanke zavrača kritike,B-PER O O
10902,"Na tedenski ravni kljub dobremu začetku tedna evropska izguba znaša 0,6 odstotka .",O O O O O O O O O O O O O
14712,"Zorko pričakuje veliko povpraševanje po Radenski in meni , da denacionalizacijski postopek , ki je v teku , ne bo vplival na prodajo .",B-PER O O O O B-ORG O O O O O O O O O O O O O O O O O O
1840,"Varuh konkurence je v tem tednu ugotovil , da naj osnutek dogovora o prodaji večine Mercatorja ne bi omejeval konkurence , kar pomeni , da bi se konzorcij lahko lotil skupne prodaje .",O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O
8747,"Kot je povedal , s spisom še niso seznanjeni , ker zadeva še ni v kazenskem postopku :",O O O O O O O O O O O O O O O O O O
12497,"Velika zadolženost in kriza proračunskih primanjkljajev postavlja na kocko skupno evropsko valuto , na daljši rok pa celo Evropsko unijo , je nadaljeval Miller .",O O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O B-PER O
13280,"Konec tedna se bodo voditelji držav G8 srečali v Camp Davidu , gostil jih bo ameriški presednik Barack Obama .",O O O O O O B-ORG O O B-LOC I-LOC O O O O O O B-PER I-PER O
17556,"Ustavno sodišče je 3. decembra lani odločalo o pobudi dveh hrvaških državljanov Andra in Alana Perića , ki sta menila , da je 23. člen Zakona o Skladu Republike Slovenije za nasledstvo in visokem predstavniku Republike Slovenije za nasledstvo ( ZSNVPN ) v nasprotju s 23. členom Ustave .",B-ORG I-ORG O O O O O O O O O O B-PER O B-PER I-PER O O O O O O O O O B-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC O B-MISC O O O O O O B-MISC O
6169,"Ta naj bi poskrbel za dokapitalizacijo družbe , v katero naj bi strateški partner Icon Capital Group iz Atlante vložil 30 milijonov evrov .",O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-LOC O O O O O
2903,Na lestvici je 17 slovenskih podjetij .,O O O O O O O
3140,"Banka Slovenije bo lahko imenovala izrednega pooblaščenca , izredno upravo , banki prepovedala prodajo premoženja , zahtevala načrt reorganizacije banke ali odredila prisilno prodajo delnic banke v breme obstoječih delničarjev .",B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
703,"Istrabenz je na predlog društva Mali delničarji skupaj smo močnejši ( MDS ) razširil dnevni red skupščine , sklicane za 27. maj .",B-ORG O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O
7315,"Uprava Darsa je po Žerjavovem mnenju pod velikim pritiskom medijev , nobena uprava pa pod takim pritiskom ne more delati normalno , tako tudi uprava Darsa ne .",O B-ORG O O B-PER O O O O O O O O O O O O O O O O O O O O B-ORG O O
17195,"Za letošnje leto načrtujejo manjšo proizvodnjo , saj so večinoma spodbude letos ukinili .",O O O O O O O O O O O O O O
6321,Neenotno gibanje tečajev se je nadaljevalo tudi v naslednjih dneh .,O O O O O O O O O O O
10507,Se kriza počasi poslavlja ?,O O O O O
137,"RTV Slovenija je nocoj v okviru dobrodelne akcije Stopimo skupaj , pomagajmo žrtvam poplav zbrala 582.000 evrov .",B-ORG I-ORG O O O O O O B-MISC I-MISC I-MISC I-MISC I-MISC I-MISC O O O O
2118,Vsak deseti prebivalec Srbije živi z manj kot 84 evri na mesec .,O O O B-LOC O O O O O O O O O
3964,"Člani upravnega odbora so sejo prekinili , saj so od uprave na čelu z Markom Pogačnikom zahtevali dodatna pojasnila , sinoči pa se je seja nadaljevala .",O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O
9053,""" Če se bo breme reševanja grških dolgov še bistveno povečalo med tem in prihodnjim novembrom , bi to lahko gospo Merkel stalo tudi njenega kanclerstva .",O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O
15820,"Premier je ocenil , da je "" nekaj dobrih obetov "" pri reševanju odprtih vprašanj meje , s katerimi se ukvarjata mešani komisiji , ki sta ju ustanovili vladi .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1417,"Kot so na današnji seji odbora v Sevnici povedali njegovi predstavniki , se po njihovem mnenju trenutno najbolj zatika pri gradnji HE Krško , ki bi morala po prvotnih načrtih leta 2012 začeti s poskusnim obratovanjem , po besedah direktorja družbe Hidroelektrarne na spodnji Savi ( Hess ) Bogdana Barbiča pa bo njen energetski del prihodnje leto končan .",O O O O O O O B-LOC O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O B-PER I-PER O O O O O O O O O
12021,Kmalu nato so lani v Revozu izdelali tudi 500.000. twinga .,O O O O O B-ORG O O O B-MISC O
15466,"Penn je svetoval tudi Tonyju Blairu , bil je glavni svetovalec Billa Gatesa in Microsofta , najbolj znan pa je kot politični svetovalec in analitik javnomnenjskih raziskav predsednika ZDA Billa Clintona .",B-PER O O O B-PER I-PER O O O O O B-PER I-PER O B-ORG O O O O O O O O O O O O O B-LOC B-PER I-PER O
15468,"Sodelovanje z najmočnejšo slovensko levo stranko se je začelo šele po preobratu v Teksasu , kjer je Clintonova v tekmi za demokratskega predsedniškega kandidata premagala Obamo .",O O O O O O O O O O O O O B-LOC O O O B-PER O O O O O O O B-PER O
15096,"Omenjena dopolnitev prav tako za štirikrat podaljšuje zastaralni rok glede kazenske in odškodninske odgovornosti , povezane z opravljanjem funkcije člana uprave ali nadzornega sveta .",O O O O O O O O O O O O O O O O O O O O O O O O O
15813,""" Zavedamo se , da je hitra cesta ta trenutek za vse nas nujna za nadaljnji razvoj prihodnje skupne pokrajine , "" pravi velenjski župan Srečko Meh in poudarja , da so vsi župani , vse občine in vse uprave na območju Šaleške in Zgornje Savinjske pokrajine dobro sodelovali že doslej in bodo tudi v prihodnje .",O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O B-LOC O B-LOC I-LOC I-LOC O O O O O O O O O O
18109,"Takrat je Türk tudi "" miksal "" .",O O B-PER O O O O O
2234,"V zadnjih dneh se je prodaja zapletla , saj je Mercatorjeva uprava razkrila , da se s prodajalci pogaja izključno Agrokor in ne napovedani konzorcij kupcev , to pa bi lahko po njenem mnenju škodilo interesom enega največjih slovenskih podjetij .",O O O O O O O O O O B-ORG O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O
