index,sentence,ner
1306,"V državah v razvoju so imele ženske , moški in otroci iz visokih družbenih razredov višjo stopnjo debelosti .",O O O O O O O O O O O O O O O O O O O
380,"Na mestu okužbe pogosto pride do povečanja bezgavk , ki se pojavi od sedem do deset dni po nastanku razjede .",O O O O O O O O O O O O O O O O O O O O O
1586,"Ko se je Atlas vrnil z jabolki , ni več želel znova prevzeti nase bremena sveta .",O O O B-PER O O O O O O O O O O O O O
1398,Znova je uradno zavzel svoj prejšnji položaj in preostanek življenja preživel v Bataviji .,O O O O O O O O O O O O B-LOC O
1621,"Slavni francoski kemik Antoine Laurent Lavoisier je pozneje trdil , da je neodvisno od njiju odkril novo snov .",O O O B-PER I-PER I-PER O O O O O O O O O O O O O
720,"Veliko knjig o religiji , filozofiji in znanosti , ki so se v tujini morda štele za kontroverzne , je bilo natisnjenih na Nizozemskem in skrivoma izvoženih v druge države .",O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O
1110,"Zdi se , da so številni ukrepi za povečan dostop do testov učinkoviti pri zmanjševanju stopnje prirojenega sifilisa v državah z nizkimi do srednjimi dohodki .",O O O O O O O O O O O O O O O O O O O O O O O O O O
1693,Vsaka država je imela 10 članov žirije ; vsak je podelil 1 točko svoji najljubši pesmi .,O O O O O O O O O O O O O O O O O
2011,Lahko preživi celo v vakuumu vesolja .,O O O O O O O
634,Genik je prevedel njihove cerkvene spise iz poljščine v angleščino .,B-PER O O O O O O O O O O
120,"Paladijevska arhitektura je evropski arhitekturni slog , ki izhaja in se navdihuje po načrtih beneškega arhitekta Andree Palladia ( 1508 - 1580 ) .",O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O
1325,Še ena posebnost njegovega dela je komorna glasba .,O O O O O O O O O
487,"Pijanec , ki pije , da bi pozabil , da ga je sram , ker pije .",O O O O O O O O O O O O O O O O O
1188,Večina naftnih polj je veliko manjših .,O O O O O O O
140,Bil je kurator prve monografske razstave o knjižnici Zamoyski .,O O O O O O O O B-ORG O
1820,Realna števila se posplošijo v kompleksna števila .,O O O O O O O O
1737,"V zadnjih letih se je Nueva Germania spremenila v bolj prijetno destinacijo , s prenočišči , ki nudijo zajtrk in s provizoričnim zgodovinskim muzejem .",O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O
753,Granma je uradni časopis centralnega komiteja kubanske komunistične partije .,B-ORG O O O O O O O O O
331,V letu 1853 je objavil znanstveno razpravo o možnosti algebrskega reševanja enačb in razširil Galoisovo delo o teoriji enačb .,O O O O O O O O O O O O O O B-PER O O O O O
359,Direkcije za logistiko in prevajanje upravlja skupaj z Evropskim ekonomsko - socialnim odborom .,O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
353,Poraba ESS znaša okoli 10 % celotnega proračuna EU .,O B-ORG O O O O O O B-ORG O
569,V polfinalu sta izgubili ZDA in Jugoslavija .,O O O O B-LOC O B-LOC O
1417,Približno 1 % vseh znanih asteroidov iz asteroidnega pasu pripada tej družini .,O O O O O O O O O O O O O
129,Po še več uporih so bili Sasi leta 804 dokončno podjarmljeni .,O O O O O O B-PER O O O O O
337,"V luči tega igrajo pokrajine , regije , mreže in združenja občin ključno vlogo pri tem , da podpisnikom pomagajo izpolniti njihove obveznosti .",O O O O O O O O O O O O O O O O O O O O O O O O
887,"Je močna kislina , zato v vodi skoraj popolnoma disociira .",O O O O O O O O O O O
151,Predsedstvo OR pri delu podpira tudi posebna komisija za finančne in upravne zadeve ( CFAA ) .,O B-ORG O O O O O O O O O O O O B-ORG O O
1905,Lahko se ga tudi položi na rano za preprečevanje infekcije .,O O O O O O O O O O O
