sentence,ner
"Europska komisija predstavila treći godišnji program rada - Vijesti - 057 info - Zadar",B-ORG I-ORG O O O O O O O O O O O O
"Europska komisija predstavila treći godišnji program rada",B-ORG I-ORG O O O O O
"Program rada Komisije za sljedeću godinu strogo je usredotočen na postizanje rezultata u 10 prioritetnih područja u skladu s političkim smjernicama i u cilju rjeavanja najvećih izazova s kojima je Europa danas suočena .",O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O
"Na temelju programa rada Komisija , Europski parlament i Vijeće sada će započeti rad na zajedničkoj izjavi o usuglaenim ciljevima i prioritetima za 2017. kako bi se prijedlozi pretvorili u konkretne mjere te postigli rezultati za građane .",O O O O B-ORG O B-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"U ovom programu rada predložena je 21 ključna inicijativa , kao i 18 novih prijedloga u okviru programa REFIT u cilju poboljanja kvalitete postojećeg zakonodavstva EU-a i osiguravanja svrsishodnosti naih propisa .",O O O O O O O O O O O O O O O O O O B-ORG O O O O O O B-LOC O O O O O O
"Da bi se postizanje rezultata zadržalo u žaritu , u programu rada utvrđena su 34 prioritetna prijedloga u postupku , koje je Komisija podnijela u zadnje dvije godine i čije bi brzo prihvaćanje u Parlamentu i Vijeću znatno pridonijelo poboljanju stanja na terenu .",O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O B-ORG O B-ORG O O O O O O O
"Ove godine predloženo je povlačenje 19 zakonodavnih prijedloga koji vie nisu aktualni , a izvan snage će se stavit 16 zastarjelih zakonodavnih akata .",O O O O O O O O O O O O O O O O O O O O O O O O
"Povećati će se napori u pogledu primjene propisa u irokom rasponu politika , među ostalim i u području jedinstvenog tržita i okolia , jer ni najbolji propis nije koristan ako se na terenu ne postižu opipljivi rezultati .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Između ostalog Komisija je danas objavila planove o preustroju oporezivanja trgovačkih drutava na jedinstvenom tržitu i tako utvrdila pravedan sustav poreza na dobit kojim se potiče rast .",O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
"Konsolidirana osnovica poreza na dobit ) ( CCCTB ) prilagođena je u okviru ireg paketa reformi poreza na dobit .",O O O O O O O B-MISC O O O O O O O O O O O O
"Njome će se subjektima na jedinstvenom tržitu olakati poslovanje i sniziti trokovi te će biti moćan mehanizam protiv izbjegavanja plaćanja poreza .",O O O O O O O O O O O O O O O O O O O O O O
"Vie informacija pronađite na stranicama Informacijskog centra Europe Direct Zadar (",O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
"HRT : Europska komisija uputila prigovore Hrvatskoj",O O B-ORG I-ORG O O B-LOC
"Nakon što je objavila rujanski paket povreda propisa po državama članicama , u slučaju naše zemlje Europska komisija je utvrdila povrede u nekoliko sektora .",O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O
"Smatraju da kasnimo s razvojem digitalnog tržišta i da bi troškovi brzog interneta trebali biti 30 % niži .",O O O O O O O O O O O O O O O O O O O
"Komisija je uputila službenu opomenu Hrvatskoj jer još nije prenijela te mjere u svoje zakonodavstvo .",B-ORG O O O O B-LOC O O O O O O O O O O
"Komisija poziva Hrvatsku i da ukine diskriminatorna pravila u pogledu ribolovnih dozvola .",B-ORG O B-LOC O O O O O O O O O O
"Godišnje ribolovne dozvole izdaju se samo osobama s prebivalištem u Hrvatskoj , dok drugi mogu dobiti jedino dozvole koje vrijede do 30 dana .",O O O O O O O O O O B-LOC O O O O O O O O O O O O O
"Posjetitelji koji žele loviti ribu cijelu godinu , moraju kupiti 12 mjesečnih dozvola , što je 16 puta skuplje od godišnje dozvole .",O O O O O O O O O O O O O O O O O O O O O O O
"Komisija tu praksu smatra diskriminatornom i neusklađenom s Direktivom o uslugama .",B-ORG O O O O O O O B-MISC I-MISC I-MISC O
"Hrvatsku se uz Grčku , Irsku , Italiju i Portugal poziva da poboljša razmjenu informacija radi borbe protiv terorizma .",B-LOC O O B-LOC O B-LOC O B-LOC O B-LOC O O O O O O O O O O
"Hrvatska još nije osigurala automatsku razmjenu podatka o DNK , otiscima prstiju te registraciji vozila .",B-LOC O O O O O O O O O O O O O O O
"Predsjednik HDZ-a Andrej Plenković izjavio je kako pitanje upozorenja treba rješavati tehnička Vlada , a da će se o tome očitovati kada za to dođe vrijeme .",O B-ORG B-PER I-PER O O O O O O O O B-ORG O O O O O O O O O O O O O O
"To neka rješava trenutna tehnička vlada .",O O O O O B-ORG O
"Imaju sve ovlasti za to , kao što kvalitetno rade u korespondenciji s Europskom komisijom kada je riječ o zakonu o konverziji kredita u švicarskim francima , a kada dođe vrijeme vrlo ćemo jasno dati svoj stav , izjavio je Plenković .",O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O
"Na isto pitanje ministar financija Zdravko Marić odgovorio je da je pitanje što tehnička , ali i bilo koja druga vlada tu može učiniti .",O O O O O B-PER I-PER O O O O O O O O O O O O O B-ORG O O O O
"Mi smo tržišno-socijalno gospodarstvo .",O O O O O
"Vlada nastoji u onom segmentu za koji je zadužena i gdje je odgovornost njena , dakle prije svega u poreznom i neporeznom dijelu , napraviti porezno rasterećenje i mislim da će to biti jasan signal i poruka i ostalim segmentima hrvatskog gospodarstva da mogu napraviti dodatni iskorak i krenuti u tom smjeru .",B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Mislim da su ove preporuke koje smo dobili od EK jasan signal među ostalim i na tom području , izjavio je Marić .",O O O O O O O O O B-ORG O O O O O O O O O O O B-PER O
"Uz Hrvatsku , EK je upozorila Austriju , Belgiju , Bugarsku , Cipar , Češku , Estoniju , Finsku , Francusku , Grčku , Mađarsku , Latviju , Litvu , Luksemburg , Nizozemsku , Portugal , Slovačku , Sloveniju i Veliku Britaniju .",O B-LOC O B-ORG O O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC I-LOC O
"Ne obavijeste li te zemlje Komisiju o mjerama koje su poduzele za usklađivanje nacionalnog zakonodavstva s pravom EU-a , EK može odlučiti da ih , u skladu s pravilima EU-a o povredama propisa , uputi Sudu EU-a , kao i predložiti novčane kazne .",O O O O O B-ORG O O O O O O O O O O O B-LOC O B-ORG O O O O O O O O O B-LOC O O O O O B-ORG I-ORG O O O O O O O
"Svim europskim kućanstvima , u ruralnim ili gradskim područjima , trebala bi biti dostupna povezivost s brzinom preuzimanja od najmanje 100 Mb / s , s mogućnošću prelaska na Gb / s , a sva gradska područja te veće prometnice i željezničke linije trebali bi imati neprekinutu pokrivenost za 5 G , petu generaciju sustavâ bežične komunikacije .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"IUS-INFO - Europska komisija",B-MISC O B-ORG I-ORG
"Tijekom procesa ratifikacije Hrvatska će biti informirana i konzultirana o novim zakonima koji se budu donosili u Europskoj uniji i u tom razdoblju moći će dati svoj doprinos u oblikovanju tih zakona i propisa .",O O O B-LOC O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O
"Stoga smatramo da je u tom periodu važno upoznati se s glavnim institucijama Europske unije , a „ primus inter pares “ svakako je Europska komisija .",O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O B-ORG I-ORG O
"Europska komisija političko je i glavno izvršno tijelo Europske unije .",B-ORG I-ORG O O O O O O B-LOC I-LOC O
"Zajedno s Parlamentom i Vijećem ministara , osnovana je 1950-ih u okviru osnivačkih ugovora EU-a .",O O B-ORG O B-ORG I-ORG O O O O O O O O B-LOC O
"Sjedište Komisije je u Bruxellesu , ali ima urede u Luksemburgu , zastupništva u svim državama članicama Unije te delegacije u glavnim gradovima širom svijeta .",O B-ORG O O B-LOC O O O O O B-LOC O O O O O O B-LOC O O O O O O O O
"Komisija se sastoji od po jednog predstavnika iz svake države članice .",B-ORG O O O O O O O O O O O
"Danas ima 27 članova ( povjerenika ) koji djeluju kao kolegij , odnosno odluke ne donose pojedini povjerenici , nego cijela Komisija glasovanjem .",O O O O O O O O O O O O O O O O O O O O O B-ORG O O
"Imenuje se svakih pet godina , u roku od šest mjeseci od izbora za Europski parlament .",O O O O O O O O O O O O O O B-ORG I-ORG O
"Postupak započinje tako da se vlade država članica usluglase o imenovanju novoga predsjednika Komisije , a njega potom odobrava Parlament .",O O O O O O O O O O O O O B-ORG O O O O O B-ORG O
"Predsjednik Komisije zatim , u raspravi s vladama država članica , odabire ostale članove Komisije .",O B-ORG O O O O O O O O O O O O B-ORG O
"Predsjednik Komisije odlučuje koji će povjerenik biti odgovoran za koje političko područje i raspodjeljuje odgovornosti tijekom mandata Komisije .",O B-ORG O O O O O O O O O O O O O O O B-ORG O
"Parlament intervjuira svakoga člana i daje svoje mišljenje u vezi s cijelim sastavom .",B-ORG O O O O O O O O O O O O O
"Nakon što je odobrena , nova Komisija može službeno započeti s radom .",O O O O O O B-ORG O O O O O O
"Iz navedenog možemo zaključiti da imenovanje Komisije podsjeća na konstituiranje vlade u pojedinim državama .",O O O O O O B-ORG O O O O O O O O
"Komisija je također i politički odgovorna Parlamentu koji ima ovlast izglasati joj nepovjerenje usvajanjem odluke o cenzuri .",B-ORG O O O O O B-ORG O O O O O O O O O O O
"Predsjednik Komisije može zatražiti ostavku pojedinog člana Komisije , ali potrebno je da takvu odluku potvrde drugi povjerenici .",O B-ORG O O O O O B-ORG O O O O O O O O O O O
"Komisija sudjeluje na svim sjednicama Parlamenta na kojima pojašnjava i opravdava svoje programe .",B-ORG O O O O B-ORG O O O O O O O O
"Ona također redovito odgovara na pisane i usmene upite zastupnika Europskoga parlamenta .",O O O O O O O O O O B-ORG I-ORG O
"Zadaće Komisije definirane su",O B-ORG O O
", a četiri najvažnije su : Lisabonskim ugovorom - predlaže zakonodavstvo Parlamentu i Vijeću ; - upravlja i provodi programe i proračun Unije ; - provodi europsko zakonodavstvo ( zajedno sa Sudom Europskih zajednica ) ; - zastupa Europsku uniju na međunarodnoj razini , primjerice pregovaranjem o sporazumima između EU-a i drugih zemalja .",O O O O O O B-MISC I-MISC O O O B-ORG O B-ORG O O O O O O O O B-LOC O O O O O O O O B-ORG I-ORG I-ORG O O O O B-LOC I-LOC O O O O O O O O O B-LOC O O O O
"Komisija se sastaje jednom tjedno , obično srijedom , u Bruxellesu .",B-ORG O O O O O O O O O B-LOC O
"Svaku točku dnevnog reda predstavlja povjerenik zadužen za to političko područje , a cijeli sastav potom donosi zajedničku odluku .",O O O O O O O O O O O O O O O O O O O O
"Sastanak Europske komisije .",O B-ORG I-ORG O
"Za svakodnevno funkcioniranje Komisije odgovorni su njezini administrativni dužnosnici , stručnjaci , prevoditelji , tumači i tajničko osoblje : otprilike 25.000 europskih službenika .",O O O B-ORG O O O O O O O O O O O O O O O O O O O O
"Osoblje Komisije organizirano je u odjele pod nazivom "" Opće uprave "" ( DG ) i "" službe "" ( kao što je Pravna služba ) .",O B-ORG O O O O O O O B-ORG I-ORG O O B-ORG O O O O O O O O O B-ORG I-ORG O O
"Svaka Opća uprava odgovorna je za određeno političko područje i na njezinu se čelu nalazi glavni direktor koji odgovara jednom od povjerenika .",O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O
"Cjelokupnu koordinaciju vrši Glavno tajništvo koje upravlja tjednim sastancima Komisije .",O O O B-ORG I-ORG O O O O B-ORG O
"Na njezinu čelu nalazi se glavni tajnik koji odgovara izravno predsjedniku .",O O O O O O O O O O O O
"Opće uprave pripremaju i sastavljaju zakonodavne prijedloge , no ti prijedlozi postaju službeni tek kad ih "" usvoji "" Komisija na svojim tjednim sastancima .",B-ORG I-ORG O O O O O O O O O O O O O O O O O B-ORG O O O O O
"Budući da je priprema europskog zakonodavstva prilično složen posao koji zahtjeva upućenost u mnoga tehnička i stručna pitanja , te s obzirom na razlike između država članica , Komisija surađuje s odborima sastavljenim od stručnjaka predstavnika država članica u postupku koji se naziva komitologija .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O
"Europska Komisija smatra se „ najeuropskijom “ institucijom , budući da njezini članovi , iako državljani članica EU , ne predstavljaju u tom tijelu države , već promiču interese EU , pri čemu im je zajamčena potpuna neovisnost .",B-ORG I-ORG O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O B-LOC O O O O O O O O O
"Dakako , neovisnost povjerenika vrlo je diskutabilna budući da ih većina dolazi iz političkih krugova svoje zemlje koja ih i imenuje , međutim jednom kad postanu povjerenici Komisije , smatraju se službenicima Europske unije i država ih ne može opozvati .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O B-LOC I-LOC O O O O O O O
"Danijela Damjanović , dipl. iur.",B-PER I-PER O O O
"EUROPSKA KOMISIJA DALA VLADI ULTIMATUM OKO INE ' Imate dva mjeseca da odustanete od zlatne dionice ili ćemo vas tužiti ' - Jutarnji List",B-ORG I-ORG O B-ORG O O B-ORG O O O O O O O O O O O O O O O B-ORG I-ORG
