index,sentence,ner
8777,"Tak by následně mohly být objasněny příčiny a odpovědnosti za krach kladenského gigantu , praví se v prohlášení .",O O O O O O O O O O O O O O O O O O O
5773,"Podle dramaturgyně Jindřišky Keferové je společným tématem koncertu pro děti zvířátko , které se objevuje v každé části programu a různě se proměňuje .",O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O
8212,Odvetné finále Hanáckého poháru,O O B-ORG I-ORG
3146,"Snášel tedy velmi těžce domácí politikaření , korupci a špinavé osobní i finanční poměry politiků .",O O O O O O O O O O O O O O O O
3999,"Nižší cena dovozové zeleniny však zdaleka neznamená , že je to výhodné i pro naše spotřebitele .",O O O O O O O O O O O O O O O O O
3673,"Pokud si dáte práci s rozpracováním případu ( když víte jak ) , pak se dostanete dál bez jakýchkoliv nesnází .",O O O O O O O O O O O O O O O O O O O O O
1486,"Běhá tu takovejch , co si myslí , že strachem stoupá potence .",O O O O O O O O O O O O O
3124,To byl téměř zločin .,O O O O O
8837,Další porážku - tentokrát v zemských volbách v Berlíně - utrpěla německá sociální demokracie .,O O O O O O O O B-LOC O O O O O O
6466,"Snahou je vyřízení oprávněných energetických požadavků a potřeb zákazníků z jednoho místa , jednou kontaktní osobou .",O O O O O O O O O O O O O O O O O
3499,- Kánonické variace ( 1746 - 47 ) ;,O B-MISC I-MISC O O O O O O
3834,( 10 ) Berthe Morisotová :,O O O B-PER I-PER O
6245,"Měli bychom však mít zároveň jasno v otázce , co ekonomický přístup vlastně znamená .",O O O O O O O O O O O O O O O
1276,"Isch bin ein nachgekleinerter Zwerggermane , řekl Harýk , přidal se k Aleně , hajloval , ale lezl přitom po kolenou , Alena se tyčila nad ním , aspoň o půl těla vyšší .",O O O O O O O B-PER O O O O B-PER O O O O O O O O O B-PER O O O O O O O O O O O
1335,26 Proto se raduje mé srdce,O O O O O O
4312,Základem slova homosexualita však je řecké slovo homos = stejný .,O O O O O O O O O O O
6652,"Kdo má své emoce více utlumeny , může s hystericky laděným člověkem spoluprožít to , co jemu chybí .",O O O O O O O O O O O O O O O O O O O
8447,5.7 Může být míra akumulace vyšší než hrubá míra investic téže ekonomiky za stejné období ?,O O O O O O O O O O O O O O O O
7248,Kotilová byla do roku 1993 starostkou města Třeboň a poté pracovala v managementu lázní .,B-PER O O O O O O B-LOC O O O O O O O
4995,"Se 74 příspěvky do diskuse se ale exprimátor Kasl řadí k těm , kteří na jednáních hovoří nejčastěji .",O O O O O O O O B-PER O O O O O O O O O O
6369,"Pražský biskup , který za svého života shromáždil pozoruhodnou sbírku a knihovnu .",O O O O O O O O O O O O O
70,Nahlédněme do jeho Epištoly k voličům čís .,O O O B-MISC I-MISC I-MISC O O
5686,"Vzhledem k tomu , že se přihláška nepodává v Bruselu , ale vždy předsedající zemi , předá ji český premiér při příležitosti své oficiální návštěvy v Itálii , která v lednu převezme na dalších šest měsíců předsednictví po Španělsku .",O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O B-LOC O
307,Pak ještě bouchnutí dveří do kuchyně - a zamknutí i tam .,O O O O O O O O O O O O
878,"V rychlobruslení muži bojují o pět sad medailí , stejně jako ženy .",O O O O O O O O O O O O O
2712,"Miláčku , ty jsi měl k večeři salám , protože na rtech kousek masa mám , ale to nevadí , líbej mne znovu a znovu a znovu žvýkej moje maso kolem očních důlků , kolem jámy úst .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5093,Byla to špatná otázka ve špatný okamžik .,O O O O O O O O
4830,"Průměrná roční tempa růstu za tehdejší ČSSR a na Slovensku se v sedmdesátých letech ( 1971 - 1980 ) vyvíjela opět na Slovensku rychleji , a to v takovýchto proporcích : u národního důchodu 4,7 % a 5,2 % , u průmyslové hrubé výroby 5,7 % a 7,6 % , u stavebních prací provedených vlastními pracovníky stavebních podniků 6,5 % a 7,3 % . Vyšší tempa hrubého výstupu dosahovaná na Slovensku byla vesměs zajišťována vyšší spotřebou zdrojů , zejména pak materiálovou mezi - spotřebou a vyšší kapitálovou náročností .",O O O O O O B-LOC O O B-LOC O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O
6352,"Autobus , za kterým celý udýchaný běžel doktor Moše ben David , se stal jeho rakví .",O O O O O O O O B-PER I-PER I-PER O O O O O O
7976,"Jak dodala , nepřiměřená rychlost a nesprávné předjíždění jsou nadále hlavními příčinami havárií , z nichž mnohé končí právě takto tragicky .",O O O O O O O O O O O O O O O O O O O O O O
3060,Existuje zánět horních cest dýchacích .,O O O O O O
2893,"Spi , moje troubo , pohozená na smetiště nevyužitých polských možností !",O O O O O O O O O O O O
1248,"64 procent obyvatel ruského hlavního města požaduje , aby všichni Čečenci byli okamžitě deportováni z Moskvy .",O O O O O O O O O O B-PER O O O O B-LOC O
3062,"Výhrady existují k oběma , ikdyž v Grégrově materiálu je více bodů , které vyvolávají pochybnosti o slučitelnosti s pravidly EU , "" míní Telička .",O O O O O O O B-PER O O O O O O O O O O O O B-ORG O O O B-PER O
8650,. . . . . výt Průběrný odstřel srnčí zvěře ( Kolář ) 49 Kč,O O O O O O O O O O O B-PER O O B-MISC
235,"A s velkým zájmem si prohlížel , jak slavná osoba před ním vypadá .",O O O O O O O O O O O O O O
3513,"Nejvíce se tento problém projevil u Chemopetrolu , jehož hospodářský výsledek byl proto nižší o 400 mil . Kč .",O O O O O O B-ORG O O O O O O O O O O O B-MISC O
2308,"Hořovice - Koncertem Slavíkova komorního orchestru , který se uskuteční ve středu 22 . prosince v sále hořovické radnice , vyvrcholí další ročník hudebního festivalu Slavíkovy Hořovice .",B-LOC O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O
8506,"Důkazem růstu poptávky je i přijetí květnové zakázky na výrobu 100 kontejnerů pro síť Oskar , která si vyžádala vytvoření 20 nových pracovních míst .",O O O O O O O O O O O O O O B-ORG O O O O O O O O O O
2549,"Dítě si přeje koloběžku a má radost , když dostane koloběžku , a přeje si , aby tak krásný den nikdy neskončil .",O O O O O O O O O O O O O O O O O O O O O O O
2327,58 Zemřel Yehudi Menuhin,O O B-PER I-PER
5779,Za čtvrt hodiny se s pomocí šálku silné kávy trochu zahřál .,O O O O O O O O O O O O
2848,"Po porážce Kuomintangu v kontinentální Číně v roce 1949 se uprchlí vojáci , politici i stoupenci Kuomintangu uchýlili na Tchaj - wan .",O O B-ORG O O B-LOC O O O O O O O O O O B-ORG O O B-LOC I-LOC I-LOC O
179,"A tak příznačně křehkou , jak ji znal a obdivoval , když věděl , že každá její křivka je tu pro něj .",O O O O O O O O O O O O O O O O O O O O O O O
6744,Tančila se soubory Cincinnati Ballet a American Ballet Theater a zpívala v Metropolitní opeře .,O O O B-ORG I-ORG O B-ORG I-ORG I-ORG O O O B-ORG I-ORG O
1875,Tyto údaje platí pro osmnáctijamkové mistrovské hřiště a sdělil nám je Praha Karlštejn Golf klub .,O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O
5627,"Střední odhad říká , že v roce 2050 by mohlo v USA žít asi 400 milionů lidí ( 255 mil . v roce 1990 ) .",O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O
8781,"Ve druhém speciálu pojedou Vlastimil Buchtyár , Tomáš Mück a Milan Kořený , v šestikolce Bedřich Sklenovský , Petr Gilar a Petr Hamerla .",O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O
5127,V Havaně pak byla r . 1943 uspořádána ještě velká retrospektivní výstava jejích obrazů .,O B-LOC O O O O O O O O O O O O O
2036,Zaplaťte si vlastní důchod Komentáře,O O O O O
1673,"Za čtvrté - neexistuje kvalitní programové vybavení pro pořizování dat VZP , za které by VZP nesla odbornou a metodickou garanci a které by mj . sloužilo jako metodický vzor pro další programové systémy .",O O O O O O O O O O B-ORG O O O O B-ORG O O O O O O O O O O O O O O O O O O O
7698,"To , co je na osobnosti Filipa Naudtse obzvlášť pozoruhodné je skutečnost , že jde o portrétistu pracujícího na zakázku .",O O O O O O B-PER I-PER O O O O O O O O O O O O O
200,". Josef Braťka a Manfred Kucklick ze SRN , malé pole posuzovali páni Jaroslav Hofman a Jiří Potužák , u vody posuzovali páni Jaroslav Krušina a Berhard Wielage ze SRN , na barvách posuzovali páni Alois Grmolenský , Stanislav Kostka a Anton Lager z Rakouska , na vlečkách posuzovali páni Ladislav Ježek a Miroslav Aldorf , na drobných disciplínách posuzovali páni Vratislav Bulíček a Josef Bartoška .",O B-PER I-PER O B-PER I-PER O B-LOC O O O O O B-PER I-PER O B-PER I-PER O O O O O B-PER I-PER O B-PER I-PER O B-LOC O O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-LOC O O O O O B-PER I-PER O B-PER I-PER O O O O O O B-PER I-PER O B-PER I-PER O
7269,"Fauly : Kunín a Houseři Brno 32 , USK Praha 37 , Ústí 38 , Sparta a Děčín 40 , BVV Brno 42 , NH Ostrava 44 , Pardubice 45 , Opava 48 , Kroměříž a Chomutov 50 .",O O B-ORG O B-ORG I-ORG O O B-ORG I-ORG O O B-ORG O O B-ORG O B-ORG O O B-ORG I-ORG O O B-ORG I-ORG O O B-ORG O O B-ORG O O B-ORG O B-ORG O O
844,"Expozice Příběhy bílé a černé vyvolala ve Francii polemiku mezi jejím autorem Sergem Lemoinem a Jeanem Clairem , kurátorem minulého benátského bienále a spoluautorem loňské retrospektivy Ivana Theimera v Belvedéru , o smyslu geometrie pro moderní umění .",O B-MISC I-MISC I-MISC I-MISC O O B-LOC O O O O B-PER I-PER O B-PER I-PER O O O O O O O O O B-PER I-PER O B-MISC O O O O O O O O
7820,"Přesto se podle ní začátek školního roku pravděpodobně o týden zpozdí , protože stavební práce jsou opožděny .",O O O O O O O O O O O O O O O O O O
7160,"Petra Abrahama ( 31 ) a Milana Jarosche ( 34 ) , jeho komplice , odsoudil již podruhé za loupež 29 . června k deseti letům vězení se zvýšenou ostrahou Krajský soud v Brně .",B-PER I-PER O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O
7453,Dne 22 . června byla dopisem FÚHS ( datovaným 16 . června ) vyzvána k,O O O O O O B-ORG O O O O O O O O
1803,Jaroslava Matějů z Pelhřimova psala nepřetržitě 24 hodin na psacím stroji a vytvořila nový světový rekord .,B-PER I-PER O B-LOC O O O O O O O O O O O O O
2600,Předloni byl oceněn za snímek Maškin zabil Koškina .,O O O O O B-MISC I-MISC I-MISC O
4443,Trofeje včetně ceny diváků MF DNES budou rozdány 13 . července v přenosu České televize .,O O O O B-ORG I-ORG O O O O O O O B-ORG I-ORG O
3351,Přípravná jednání koncilu jsou bohužel nadále tajná a bulletiny pověřeného kardinála mluví pravidelně o dobré pracovní atmosféře .,O O O O O O O O O O O O O O O O O O
5259,Zcela individuální umělou formací je vztahové přídavné jméno 1848 ový ( 1848 ová revoluce ) .,O O O O O O O O O O O O O O O O
5463,"Během období seberegulace postižený jedinec iniciuje , monitoruje , hodnotí a posiluje své chování s minimální či nulovou podporou zvenčí ( Litrownick , 1982 ;",O O O O O O O O O O O O O O O O O O O O O B-PER O O O
5155,"Doba zřejmě ještě nenazrála natolik , aby taková politická strana mohla dobře fungovat .",O O O O O O O O O O O O O O
3130,"Majitelé a provozovatelé klubů , kulturních zařízení , uměleckých agentur , kin , divadel a dalších kulturních institucí , kteří mají zájem o pravidelnou prezentaci svých akcí a pořadů v této rubrice , mohou své programy posílat poštou či faxem na adresu redakce MF DNES .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O
247,Protože chci a potřebuji být mezi svými .,O O O O O O O O
3940,"Po tomto objevu následovaly ještě pozoruhodnější nálezy v oblasti Dordogne v La Ferrassie , kde uznávaný francouzský archeolog Denis Peyrony vykopal v letech 1909 - 10 pozůstatky dvou dospělých neandrtálců .",O O O O O O O O O B-LOC O B-LOC I-LOC O O O O O B-PER I-PER O O O O O O O O O O O
1480,b ) Ženy Dlouhé šaty,O O O O O
2101,V opravě je například silnice z Deštného do povodní poničeného Kounova .,O O O O O O B-LOC O O O B-LOC O
2967,""" Šetřením bylo zjištěno , že firma v Bratislavě neexistuje a že státní poznávací značky , jimiž byla označena vozidla s lihem , nebyla přidělena těmto vozidlům a že údaje v jejich technických průkazech jsou padělané , "" dodal náměstek ředitele celního úřadu Neužil . Lupiči již podruhé vykradli Fond slepých Paragrafy",O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O B-ORG I-ORG O
5446,2 .,O O
4420,Poznatky k možnému narušení májových oslav zjištěné v průběhu operačního dne 30 . 4 . 1989 .,O O O O O O O O O O O O O O O O O
4676,"Stejně tak sestupy do podsvětí doložené v řeckých tradicích , 73 ) tím nejznamějším - který byl iniciační zkouškou Héraklovou - počínaje a legendárním sestupem Pythagorovým 74 ) a "" Zoroastrovým "" konče , 75 ) v sobě nemají nic šamanského .",O O O O O O O O O O O O O O O O O O O B-PER O O O O O B-PER O O O O B-PER O O O O O O O O O O O
3733,"Dokázal to v článku "" ODS si rozumí s ultrapravicí "" ( HN , 27 . června ) .",O O O O O O O O O O O O B-ORG O O O O O O
2806,Který to byl den ?,O O O O O
8794,"Z jiných slavných zmiňme Douglase Gordona , Katharinu Fritschovou , Martina Kippenbergera , jehož výstavu máme v současné době možnost vidět ve Veletržním paláci , Sigmara Polkeho , který právě hostuje pro změnu v Českém muzeu výtvarných umění , či Švýcarku pracující s videem Pipilotti Ristovou .",O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O O O O O O O O O O B-ORG I-ORG O B-PER I-PER O O O O O O O B-ORG I-ORG I-ORG I-ORG O O B-PER O O O B-PER I-PER O
2876,"Des Moine s , USA - Volební rituál ve Spojených státech , opakující se pravidelně každé čtyři roky , má za sebou jeden z mnoha kroků - primárky ve státě Iowa .",O O O O B-LOC O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O B-LOC O
3154,"Ten , který jsem dal před rokem za Slavii při vítězném penaltovém rozstřelu proti Schalke v Poháru UEFA .",O O O O O O O O B-ORG O O O O O B-ORG O B-ORG I-ORG O
893,A jak TO vysvětlíte ?,O O O O O
177,"Juraj Stern , rektor slovenské Ekonomické univerzity v Bratislavě , převzal 22 . června ve Vídni Středoevropskou cenu za rok 1998 , kterou mu za angažovanost při demokratizaci Slovenska udělil rakouský Ústav pro dunajský prostor a střední Evropu .",B-PER I-PER O O O B-ORG I-ORG I-ORG I-ORG O O O O O O B-LOC B-MISC I-MISC I-MISC I-MISC I-MISC O O O O O O O B-LOC O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O
8635,V louži u kandelábru stál pes .,O O O O O O O
2276,"Když přejedeme křižovatku v Olbramicich , pokračujeme ještě chvíli přímým směrem a po pěti stech metrech odbočíme vpravo na Lhotku .",O O O O B-LOC O O O O O O O O O O O O O O B-LOC O
