sentence,ner
"Пакистан : Чоловік виправданої християнки просить Захід про притулок",B-LOC O O O O O O O O
"Чоловік пакистанської християнки Азії Бібі , якій суд скасував смертний вирок за богохульство , і яку закликають стратити радикальні ісламісти , у неділю , 4 листопада , попросив західні країни про притулок .",O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"У відеозверненні , записаному британською Пакистанською християнською асоціацією , Ашіг Масіх звернувся до прем'єр - міністерки Великобританії Терези Мей , президента США Дональда Трампа та прем'єра Канади Джастіна Трюдо із проханням допомогти родині виїхати з Пакистану .",O O O O O B-ORG I-ORG I-ORG O B-PER I-PER O O O O O B-LOC B-PER I-PER O O B-LOC B-PER I-PER O O B-LOC B-PER I-PER O O O O O O B-LOC O
""" Будь ласка , допоможіть нам , ми в біді в Пакистані .",O O O O O O O O O O O B-LOC O
"Ми живемо зараз у сильному страху "" , - сказав він .",O O O O O O O O O O O O
"В інтерв'ю DW Ашіг Масіх повідомив , що родина почувається в небезпеці після того , як було вирішено , що виправдувальний вирок для його дружини може бути оскаржений .",O O B-ORG B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O
"Він з доньками переїхали в інше місце з міркувань безпеки .",O O O O O O O O O O O
"Чоловік також побоюється , що на його дружину можуть скоїти напад у в'язниці .",O O O O O O O O O O O O O O
""" Нинішня ситуація для нас дуже небезпечна .",O O O O O O O O
"Ми не маємо захисту і ховаємось тут і там , часто змінюючи місце , - сказав Масіх .",O O O O O O O O O O O O O O O O O O
"Напередодні з міркувань безпеки адвокат жінки залишив Пакистан .",O O O O O O O B-LOC O
"Азія Бібі , яку Верховний суд країни виправдав та скасував їй смертний вирок ще 31 жовтня , досі перебуває у в'язниці .",B-PER I-PER O O B-ORG I-ORG O O O O O O O O O O O O O O O O
"Після її виправдання у країні почалися масові протести радикальних ісламістів .",O O O O O O O O O O O
"Представники ультрарелігійної партії "" Техрік - є - Лабаік Пакистан "" закликали до вбивства суддів Верховного суду та виправданої жінки , а також повстання проти армії .",O O O O O O O O O B-LOC O O O O O B-ORG I-ORG O O O O O O O O O O
"Під час протестів було арештовано 150 людей , передає агенція AP .",O O O O O O O O O O B-ORG O
"Пізніше ісламісти і пакистанський уряд уклали угоду , яка передбачає , що влада не стане заперечувати проти оскарження виправдувального вироку Азії Бібі , і протести вдалося припинити .",O O O B-ORG I-ORG O O O O O O O O O O O O O O O B-PER I-PER O O O O O O
"51-річна католичка Азія Бібі , мати п'ятьох дітей , була засуджена до смертної кари в 2010 році , коли її визнали винною в образі ісламу .",O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O
"У 2009 році вона працювала у полі разом з іншими жінками та захотіла випити води з колодязя для мусульман .",O O O O O O O O O O O O O O O O O O O O
"Їй відмовили та під час суперечки звинуватили в богохульстві .",O O O O O O O O O O
"Пакистан : чоловік виправданої християнки просить Захід про притулок Родина пакистанської християнки Азії Бібі , засудженої до страти , але згодом виправданої , побоюється за свою безпеку та просить західні країни про притулок .",B-LOC O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O
"Після протестів ісламістів її справу переглянуть .",O O O O O O O
"Чоловік пакистанської християнки Азії Бібі , якій суд скасував смертний вирок за богохульство , і яку закликають стратити радикальні ісламісти , у неділю , 4 листопада , попросив західні країни про притулок .",O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"У відеозверненні , записаному британською Пакистанською християнською асоціацією , Ашіг Масіх звернувся до прем'єр - міністерки Великобританії Терези Мей , президента США Дональда Трампа та прем'єра Канади Джастіна Трюдо із проханням допомогти родині виїхати з Пакистану .",O O O O O B-ORG I-ORG I-ORG O B-PER I-PER O O O O O B-LOC B-PER I-PER O O B-LOC B-PER I-PER O O B-LOC B-PER I-PER O O O O O O B-LOC O
""" Будь ласка , допоможіть нам , ми в біді в Пакистані .",O O O O O O O O O O O B-LOC O
"Ми живемо зараз у сильному страху "" , - сказав він .",O O O O O O O O O O O O
"В інтерв'ю DW Ашіг Масіх повідомив , що родина почувається в небезпеці після того , як було вирішено , що виправдувальний вирок для його дружини може бути оскаржений .",O O B-ORG B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O
"Він з доньками переїхав у інше місце з міркувань безпеки .",O O O O O O O O O O O
"Чоловік також побоюється , що на його дружину можуть скоїти напад у в'язниці .",O O O O O O O O O O O O O O
""" Нинішня ситуація для нас дуже небезпечна .",O O O O O O O O
"Ми не маємо захисту і ховаємось тут і там , часто змінюючи місце , - сказав Масіх .",O O O O O O O O O O O O O O O O B-PER O
"Як повідомлялося , напередодні з міркувань безпеки адвокат жінки залишив Пакистан .",O O O O O O O O O O B-LOC O
"Чоловік пакистанської християнки просить притулку на Заході",O O O O O O B-LOC
"Чоловік пакистанської християнки Асії Бібі , яку наприкінці жовтня суд виправдав за звинуваченнями в богохульстві , просить західні країни про надання притулку .",O O O B-PER I-PER O O O O O O O O O O O O O O O O O O
"Він твердить , що його родина перебуває в Пакистані під великою небезпекою .",O O O O O O O O B-LOC O O O O
"Про це інформує Я прошу президента США Дональда Трампа допомогти нам залишити країну , і я прошу прем’єр - міністра Великої Британії допомогти нам і , наскільки це можливо , надати нам свободу , сказав чоловік на ім’я Ашик Масіх у відеозверненні , поширеному 4 листопада .",O O O O O O B-LOC B-PER I-PER O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O
"Він також попросив про допомогу владу Канади .",O O O O O O B-LOC O
"Одразу після звільнення Асії Бібі в Пакистані спалахнули протести ісламістів , які вимагали виконання попереднього судового рішення про страту 54-річної жінки .",O O O B-PER I-PER O B-LOC O O O O O O O O O O O O O O O
"Протести пішли на спад після того , як уряд Пакистану погодився накласти заборону на виїзд Асії Бібі та дозволив перегляд її справи .",O O O O O O O O O B-LOC O O O O O B-PER I-PER O O O O O O
"Верховний суд Пакистану 31 жовтня скасував вирок суду в місті Лагор , який у 2010 році засудив до смертної кари Асію-Бібі , матір чотирьох дітей .",B-ORG I-ORG B-LOC O O O O O O O B-LOC O O O O O O O O O O O O O O O
"Суд наказав звільнити жінку , вона перебуває нині в таємному місці з міркувань безпеки .",O O O O O O O O O O O O O O O
"За словами адвоката , 54-річна римо - католичка планує невдовзі виїхати з країни .",O O O O O O O O O O O O O O
"Франція та Іспанія вже запропонували їй притулок .",B-LOC O B-LOC O O O O O
"Рішення суду привітали правозахисники , зокрема , заступник директора Amnesty International у Південній Азії Омар Вараїч назвав вирок знаменним вердиктом .",O O O O O O O O O B-ORG I-ORG O B-LOC I-LOC B-PER I-PER O O O O O
", у Пакистані скасували смертний вирок християнці , звинуваченій у богохульстві .",O O B-LOC O O O O O O O O O
"У Пакистані виправдана християнка залишається за ґратами",O B-LOC O O O O O
"У Пакистані християнка Азія Бібі , яку Верховний суд днями виправдав та скасував їй смертний вирок за богохульство , досі залишається за ґратами .",O B-LOC O B-PER I-PER O O B-ORG I-ORG O O O O O O O O O O O O O O O
""" Ми чекаємо на інструкції від Верховного суду .",O O O O O O B-ORG I-ORG O
"Азія Бібі перебуває у в'язниці , точне місце її розташування не може бути розкрито з міркувань безпеки "" , - повідомив в коментарі DW голова в'язниці в провінції Пенджаб Салім Баіг .",B-PER I-PER O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O B-LOC B-PER I-PER O
"31 жовтня Верховний суд Пакистану виправдав Азію Бібі та постановив звільнити її з в'язниці , в якій вона була близько 10 років .",O O B-ORG I-ORG B-LOC O B-PER I-PER O O O O O O O O O O O O O O O
"Після цього країну охопили масові протести радикальних ісламістів , які виступали проти її виправдання .",O O O O O O O O O O O O O O O
"Представники ультрарелігійної партії "" Техрік - є - Лабаік Пакистан "" закликали до вбивства суддів Верховного суду та виправданої жінки , а також повстання проти армії .",O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O
"Її адвокат Саіф-уль -Мулук залишив країну та вилетів до Єгипту через побоювання за власну безпеку , передає агенція AFP .",O O O O O O O O O B-ORG O O O O O O O O B-ORG O
"Пізніше , за даними ЗМІ , ісламісти і пакистанський уряд уклали угоду , яка передбачає , що влада не стане заперечувати проти оскарження виправдувального вироку Азії Бібі , і протести вдалося припинити .",O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O B-PER I-PER O O O O O O
"Чоловік Бібі Ашіг Масіх повідомив DW , що він шокований рішенням уряду домовитися з ісламістами .",O B-PER B-PER I-PER O B-ORG O O O O O O O O O O
""" Цієї угоди ніколи не повинно було бути "" , - сказав він .",O O O O O O O O O O O O O O
"Він побоюється за життя дружини .",O O O O O O
""" Ситуація небезпечна для Азії .",O O O O B-LOC O
"Я відчуваю , що її життя не захищено "" , - зазначив він .",O O O O O O O O O O O O O O
"Він побоюється , що ісламісти будуть вимагати зміни судового рішення .",O O O O O O O O O O O
""" Священнослужителі хочуть довести , що Верховний Суд помилився .",O O O O O O B-ORG I-ORG O O
"Це негативна тенденція "" , - зазначив Ашіг Масіх .",O O O O O O O B-PER I-PER O
"51-річна католичка Азія Бібі , мати п'ятьох дітей , була засуджена до смертної кари в 2010 році , коли її визнали винною в образі ісламу .",O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O
"У 2009 році вона працювала у полі разом з іншими жінками та захотіла випити води з колодязя для мусульман .",O O O O O O O O O O O O O O O O O O O O
"Їй відмовили , оскільки від дотику християнки до глека вода може стати нечистою , та звинуватили в богохульстві .",O O O O O O O O O O O O O O O O O O O
"У Пакистані затримали лідера протестів проти звільнення християнки з тюрми Затримання не має нічого спільного зі справою християнки Асії Бібі , проти звільнення якої виступали прихильники затриманого ісламіста , кажуть у поліції .",O B-LOC O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O
"Правоохоронці також затримали близько 300 прибічників Різві .",O O O O O O B-PER O
"Лідера радикальної ісламської партії "" Техрік - є - Лабаік Пакистан "" ( ТЛП ) Хадіма Хуссейна Різві затримали правоохоронні органи Пакистану .",O O O O O O O O O O O O O B-ORG O B-PER I-PER I-PER O O O B-LOC O
"Про затримання клірика - ісламіста повідомив у ніч на суботу , 24 листопада , міністр інформації країни Фавад Чаудхрі в соціальній мережі Twitter .",O O O O O O O O O O O O O O O O O B-PER I-PER O O O B-PRO O
"За словами урядовця , клірика взяли під варту з метою його "" захисту "" , а також для того , щоб гарантувати громадську безпеку , порядок та захистити власність громадян .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
""" Це не має нічого спільного зі справою Асії Бібі "" , - запевнив міністр у дописі в соцмережі .",O O O O O O O O B-PER I-PER O O O O O O O O O O
"Різві очолює рух протесту проти скасування Верховним судом країни вироку про смертну кару для християнки Асії Бібі , а також рішення суддів щодо її подальшого звільнення з в'язниці .",B-PER O O O O O B-ORG I-ORG O O O O O O O B-PER I-PER O O O O O O O O O O O O
"З 2010 року вона просиділа за ґратами за звинуваченням в образі пророка Мохаммеда .",O O O O O O O O O O O O B-PER O
"Раніше Різві закликав у відеозверненні своїх прихильників вийти на вулиці в разі його затримання , нагадує інформагентство Reuters .",O B-PER O O O O O O O O O O O O O O O B-ORG O
"Син затриманого ісламського клірика Саад Різві розповів у телефонній розмові з журналістом Reuters , що його батька "" заарештували в медресе ( мусульманський навчальний заклад . - Ред .",O O O O B-PER I-PER O O O O O O B-ORG O O O O O O O O O O O O O O O O
"Згодом пакистанська поліція повідомила про арешт близько 300 прихильників затриманого клірика .",O O O O O O O O O O O O
"Більшість арештів відбулася в провінції Пенджаб , передає агенція новин AP .",O O O O O B-LOC O O O O B-ORG O
"Нагадаємо , на початку листопада родина засудженої до страти , але згодом виправданої Азії Бібі , попросила західні країни про притулок через побоювання за свою безпеку .",O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O
"Римський Колізей підсвітять червоним світлом для нагадування про гоніння на християн",O B-LOC O O O O O O O O O
"За задумом організаторів акції , міжнародної католицької благодійної організації « Допомога Церкві в нужді » ( Aid to the Church in Need , ACN ) , червоний колір символізує кров християн , які постраждали від рук ісламських бойовиків у країнах Близького Сходу , повідомляє "" Благовіст - Інфо "" з посиланням на Catholic News Agency .",O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O B-LOC I-LOC O O O B-ORG I-ORG I-ORG O O O O B-ORG I-ORG I-ORG O
"Цього дня аналогічні акції відбудуться в Сирії та Іраку : в Алеппо буде освітлено маронітський собор святого Іллі , а в Мосулі – католицька церква святого Павла , де 24 грудня пройшла перша меса після звільнення міста від бойовиків .",O O O O O O B-LOC O B-LOC O O B-LOC O O O O O B-PER O O O B-LOC O O O O B-PER O O O O O O O O O O O O O
"Подібного роду акції ACN проводить вже не вперше .",O O O B-ORG O O O O O
"У листопаді минулого року у Великобританії в рамках кампанії підтримки переслідуваних християн Близького Сходу червоним кольором висвітлили будівлю парламенту в Лондоні і ще близько десятка найбільших соборів по всій країні .",O O O O O B-LOC O O O O O O B-LOC I-LOC O O O O O O B-LOC O O O O O O O O O O
"Тоді ж забарвилося в червоний колір базиліка Святого Серця в Парижі і кафедральний собор Маніли ( Філіппіни ) .",O O O O O O O O O O B-LOC O O O B-LOC O B-LOC O O
"У 2016 році був висвітлений знаменитий фонтан Треві в Римі .",O O O O O O O O O B-LOC O
"Алессандро Монтедуро ( Alessandro Monteduro ) , директор ACN , на зустрічі з журналістами розповів , що освітлення Колізею буде присвячено двом знаковим постатям : « Це Азія Бібі , пакистанська християнка , засуджена до смертної кари за богохульство і чий вирок , як ми сподіваємося , буде скасовано ; і Ребекка , молода жінка , викрадена [бойовиками ]",B-PER I-PER O B-PER I-PER O O O B-ORG O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O
