index,sentence,ner
690,"Slavná kniha amerického prezidentského kandidáta , kde říká : „ Nastal čas navrátit Ameriku jejím právoplatným majitelům – americkému lidu .",O O O O O O O O O O O O O O O O O O O O O
207,Takzvaný Spoločný konsolidovaný základ dane z príjmov právnických osôb ( Common Consolidated Corporate Tax Base - CCCTB ) má uľahčiť podnikanie na jednotnom trhu a slúžiť ako účinný nástroj proti vyhýbaniu sa daňovým povinnostiam .,O B-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC I-MISC O B-MISC I-MISC I-MISC I-MISC I-MISC O B-MISC O O O O O O O O O O O O O O O O O O
455,Blahoželám Donaldovi Trumpovi k víťazstvu vo voľbách .,O B-PER I-PER O O O O O
226,"Ostatné banky , ktoré boli súčasťou kartelu , teda Barclays , Deutsche Bank , RBS a Société Générale v decembri 2013 priznali svoje pochybenia a akceptovali vyrovnanie .",O O O O O O O O O B-ORG O B-ORG I-ORG O B-ORG O B-ORG I-ORG O O O O O O O O O O
534,"Prečítala som pár stránok a všimla som si , že kdekoľvek som knižku otvorila , oslovili ma slová , príbeh a samotný postoj až tak , že som si knižku ihneď kúpila .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
470,"Následne investoval do hotelov , kasín a luxusných bytov .",O O O O O O O O O O
122,"V apríli som vyzval komisárku pre hospodársku súťaž Margrethe Vestagerovú na preskúmanie štátnej pomoci , ktorú vláda Slovenskej republiky plánuje poskytnúť spoločnosti Váhostav .",O O O O O O O O B-PER I-PER O O O O O O O B-LOC I-LOC O O O B-ORG O
604,"Donald Trump v Kallstadte nikdy nebol , za to tam ale bol pred rokmi na návšteve jeden jeho blízky príbuzný z USA .",B-PER I-PER O B-LOC O O O O O O O O O O O O O O O O O B-LOC O
192,Uskutočnia sa rokovania s členmi vlády Slovenskej republiky .,O O O O O O B-LOC I-LOC O
339,Zika vírus bol vyhlásený 1 . februára 2016,B-MISC O O O O O O O
47,eur ) .,O O O
802,Donald Trump za republikánov a Clintonová sa demokratov sa stretnú v prezidentských voľbách .,B-PER I-PER O B-ORG O B-PER O B-ORG O O O O O O
19,Čo si myslí podpredseda vlády Peter Pellegrini o bielych miestach ( otázka začína v čase 1 :17 ) :,O O O O O B-PER I-PER O O O O O O O O O O O O
