index,sentence,ner
7053,President - Alfred Moisiu ( 2002–2007 ),O O B-PER I-PER O O O
575,Shumë shpejt ai fitoi favorin e blog-erëve me ndikim pasi ata e gjetën muzikën e tij në MySpace .,O O O O O O O O O O O O O O O O O B-ORG O
5119,PSV Eindhoven 'Titulli i Parë,B-ORG I-ORG O O O
6279,Presidenti - Lyndon B. Johnson ( 1963–1969 ),O O B-PER I-PER I-PER O O O
4690,Ata fituan ndeshjen e tyre të parë kompetitive duke mposhtur Maqedoninë 1–0 .,O O O O O O O O O O B-ORG O O
2911,Bee – 2:59,B-ORG O O
3821,Palestina ( shtet me njohje të kufizuar ),B-ORG O O O O O O O
7924,Bullgaria -,B-LOC O
5849,Arabia Saudite -,B-LOC I-LOC O
9276,"Ajo u vlerësua , u komentua e u përkthye me fragmente nga prof. Norbert Jokli , prof. Ernest Koliqi etj .",O O O O O O O O O O O O O B-PER I-PER O O B-PER I-PER O O
3921,1998 FIFA Kupa e Botës,B-ORG I-ORG I-ORG I-ORG I-ORG
2477,Rusia,I-LOC
818,Fredrik Reinfeldt ( 2006–2014 ),B-PER I-PER O O O
6100,Presidenti - Augusto Pinochet ( 1974–1990 ),O O B-PER I-PER O O O
8545,Vepra bazohet në motivet e veprës po me këtë emër të Muhamet Çami - Kyçyku .,O O O O O O O O O O O B-PER I-PER I-PER I-PER O
6478,Instituti i Politikave Mjedisore,B-ORG I-ORG I-ORG I-ORG
3424,Akademia e Shkencave dhe e Arteve e Kosovës,B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
7334,Etiopia -,B-LOC O
1917,RIDREJTO Anëtarësimi i Shqipërisë në Bashkimin Evropian,O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
7821,Leka I ( 1961-2011 ),B-PER I-PER O O O
7715,Mayhem,B-ORG
1641,Shtetet e Bashkuara humbën me rezultatin 1–0 kundër Gjermanisë falë Golit të Michael Ballack në minutën e 39 .,B-ORG I-ORG I-ORG O O O O O B-ORG O O O B-PER I-PER O O O O O
1935,Kryeministër - Sirimavo Bandaranaike ( 1994–2000 ),O O B-PER I-PER O O O
5087,Dy ditë pas fejesës shkuan për vizitë Enver Hoxha dhe bashkëshortja e tij Nexhmije Hoxha .,O O O O O O O B-PER I-PER O O O O B-PER I-PER O
2676,Shën Kits dhe Nevis,B-LOC I-LOC I-LOC I-LOC
