sentence,ner
"Optiku pre školy preveruje Európska komisia .",O O O O B-ORG I-ORG O
"Hrozí vracanie eurofondov | Živé .sk Európska komisia ( EK ) preveruje štátnu pomoc a verejné obstarávanie okolo projektu Digitálne učivo na dosah , v rámci ktorého ministerstvo školstva a úrad vlády zavádzali optický internet do vyše 200 škôl .",O O O O O O B-ORG I-ORG O B-ORG O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O O O O B-ORG I-ORG O B-ORG I-ORG O O O O O O O O
"Počítal s rozpočtom 29 , 4 milióna eur vrátane DPH .",O O O O O O O O O O O
"Informáciu priniesol server e Trend .sk , ktorý získal prezentáciu zo zasadnutia monitorovacieho výboru ministerstva dopravy , ktoré je riadiacim orgánom nového operačného programu Integrovaná infraštruktúra .",O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O B-MISC I-MISC O
"Prebiehanie auditu potvrdila i vedúca tlačového oddelenia zastúpenia EK na Slovensku .",O O O O O O O O B-ORG O B-LOC O
"Možno štvrtina , všetko aj nič .",O O O O O O O
"Európski úradníci ešte v auguste zaslali na Slovensko „ varovný list “ .",O O O O O O O B-LOC O O O O O
"Rezort dopravy potom požiadal prijímateľov eurofondov o reakciu .",O O O O O O O O O
"Prijímateľom a kompetenčne príslušnou inštitúciou bolo ministerstvo školstva .",O O O O O O B-ORG I-ORG O
"Úrad vlády je prostredníctvom Národnej agentúry pre sieťové a elektronické služby ( NASES ) prevádzkovateľom siete Govnet .",B-ORG I-ORG O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O B-MISC O
"Štátu teraz hrozí , že bude musieť vrátiť 25 percent získaných peňazí .",O O O O O O O O O O O O O
"Ide pritom o scenár označený ako „ realistický “ .",O O O O O O O O O O
"Vylúčená nie je ani možnosť 100-percentnej korekcie – Európska únia by tak projekt reálne nepreplatila .",O O O O O O O O B-LOC I-LOC O O O O O O
"Rovnako ale nie je ani potvrdenie , že k pochybeniam na strane slovenských úradov nakoniec nedošlo .",O O O O O O O O O O O O O O O O O
"Rezort školstva sa na konci roka 2015 chválil , že sa podarilo pripojiť 218 škôl , vykopalo sa 700 km a použilo cez 1 000 km optických káblov a 3 500 koncových zariadení .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Súčasne vyzvali podpredsedu vlády pre investície a informatizáciu Petra Pellegriniho , aby dohliadol na prešetrenie existujúcich sťažností voči projektu a v prípade ich opodstatnenosti dohliadol na zabezpečenie nápravy .",O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O
"Vicepremiér v júni na konferencii",O O O O O
"Itapa reagoval , že má záujem , aby nedošlo k narušeniu hospodárskej súťaže a neboli z verejných financií suplované veci , ktoré má robiť biznis .",B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
"Niektoré firmy vzniesli námietky na Generálne riaditeľstvo pre hospodársku súťaž Európskej komisie len voči prípravnej fáze projektu , iné voči realizácii a niekoľko spoločností sa ohradilo voči logike projektu všeobecne .",O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O
"Čo si myslí podpredseda vlády Peter Pellegrini o bielych miestach ( otázka začína v čase 1 :17 ) :",O O O O O B-PER I-PER O O O O O O O O O O O O
"NASES : Nešlo o optiku .",B-ORG O O O O O
"NASES sa vo vyjadrení pre Živé . sk bránil , že projekt nebol zameraný na pokrývanie bielych miest , teda lokalít bez rýchleho internetu , ale bola to privátna sieť rezortu školstva .",B-ORG O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
"„ Jeho cieľom je vytvorenie eGov služieb , ktoré umožnia každej zapojenej škole primerane rýchly a kvalitný prístup k digitálnemu vzdelávaciemu obsahu , “ napísal hovorca Martin Dorčák .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O
"Spoločnosti obvinili štát aj z toho , že chystá výstavbu sietí mimo bielych miest aj v rámci projektu Broadband , ktorý sa presunul do nového programového obdobia .",O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O
"Doteraz sa spracovala len projektovoinžinierska dokumentácia za necelých 12 , 4 milióna eur .",O O O O O O O O O O O O O O
"Pellegrini pre",B-PER O
"Živé . sk povedal , že diskusií na tému bielych miest už bolo dosť .",B-ORG I-ORG O O O O O O O O O O O O O
"Tento rok chce ukončiť akékoľvek rozhovory na tému a budúci rok spustiť projekt tak , aby na konci volebného obdobia zo Slovenska nepokryté miesta zmizli .",O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O
"Pripomeňme , že k zoznamu lokalít sa mali vyjadrovať aj operátori – a to tak , či ich plánujú pokryť vo vlastnej réžii .",O O O O O O O O O O O O O O O O O O O O O O O O
"SLORD > Európska komisia pozýva k formovaniu novej Európskej rady pre inovácie Európska komisia vyzýva najúspešnejsích a najlepších inovátorov Európy ku vstupu do High Level Group , ktorá bude poskytovať rady pre koncepciu novovznikajúcej Európskej rady pre inovácie ( European Innovation Council - EIC ) .",O O B-ORG I-ORG O O O O B-ORG I-ORG O O B-ORG I-ORG O O O O O B-LOC O O O B-ORG I-ORG I-ORG O O O O O O O O B-ORG I-ORG O O O B-ORG I-ORG I-ORG O B-ORG O O
"Európsky komisár pre výskum , vedy a inovácie Carlos",O O O O O O O O B-PER
"Moedas prejavil záujem vytvoriť túto inštitúciu už v júni 2015 .",I-PER O O O O O O O O O O
"Cieľom je zvýšiť dopad európskych výskumných a inovačných programov podporou inovatívnych start-upov a podporou SMEs , aby boli schopné rásť na podniky schopné celosvetovej konkurencie .",O O O O O O O O O O O O O O O O O O O O O O O O O O
"Viac informácií na stránke",O O O O
"Európska komisia schválila",B-ORG I-ORG O
"Operačný program",O O
"Kvalita životného prostredia - Ministerstvo životného prostredia Slovenskej republiky Európska komisia schválila",B-MISC I-MISC I-MISC O B-ORG I-ORG I-ORG I-ORG I-ORG B-ORG I-ORG O
"Operačný program Kvalita životného prostredia na programové obdobie 2014 – 2020 .",O O B-MISC I-MISC I-MISC O O O O O O O
"Jeho riadiacim orgánom je Ministerstvo životného prostredia SR .",O O O O B-ORG I-ORG I-ORG I-ORG O
"Slovensku sa tým otvorila možnosť čerpať v novom programovom období finančné prostriedky z Európskych štrukturálnych a investičných fondov v objeme takmer 3 , 138 miliardy eur .",B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
"Spolu s národným spolufinancovaním , ktoré predstavuje približne 1 , 17 miliardy eur , tak operačný program bude vytvárať finančný rámec pre poskytnutie podpory vo výške viac ako 4 , 308 miliardy eur . „ Schválením Operačného programu Kvalita životného prostredia sa nám otvára možnosť využiť zdroje Európskej únie v prospech obyvateľov Slovenska zlepšiť ich životné prostredie a zvýšiť kvalitu života .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC I-MISC O O O O O O B-LOC I-LOC O O O B-LOC O O O O O O O O O
