sentence,ner
"Vede ji žena , jmenuje se Ann Suba .",O O O O O O B-PER I-PER O
"Zaplatil jsem mu dopředu , a tak jsem zvědavý , jestli se vrátí .",O O O O O O O O O O O O O O
"Polovičatost modu vivendi mezi Izraelem a Bohem , placená zamlžováním boží pravdy a lidského hříchu , znevážením Boha i člověka , jitřila Ježíše tak , že se rozhodl nemlčet a handlování s Bohem skončit , ve skutečnosti však experiment s jeho všemohoucností vyostřit .",O O O O B-LOC O B-PER O O O O O O O O O O B-PER O O O O B-PER O O O O O O O O O B-PER O O O O O O O O O O O
"Ohmatávali kůru stromu , vdechovali větřík a hledali neznámo co .",O O O O O O O O O O O
"Myslím , že i legendární ošetřovatelka Florence Nigthingale , která je v Británii dávána za příklad člověka s posláním , by asi dala podobnou odpověď o svém zaměstnání .",O O O O O O B-PER I-PER O O O O B-LOC O O O O O O O O O O O O O O O O
"MS - 202 - 08 / 97 Šť . bígl s PP po výborných rodičích .",O O O O O O O O O O O O O O O O
"Odstrčil jsem svůj šálek .",O O O O O
"Katolický sjezd v Tailor ' Hall v Dublinu ( 3 . - 8 . prosinec ) .",B-ORG I-ORG O B-ORG I-ORG I-ORG O B-LOC O O O O O O O O O
"W . W . Tomek o něm ve své monografii Jan Žižka mj . praví : "" Ostatně také ze čtyř artikulů pražských jeden se vztahoval k stavování a kárání hříchů smrtelných a jiné nešlechetnosti při lidech světských a duchovních , a Žižka z něho odvozoval povolení své ke mstění nepravostí osob stavu kněžského , které za předešlých časů obyčejně zůstávaly",B-PER I-PER I-PER I-PER I-PER O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O
"Přestěhujte se do mého domu .",O O O O O O
"Britský multimediální umělec Sting , vlastním jménem Gordon Sumner , který má vystoupit 14 . června v pražské Sportovní hale , bude s největší pravděpodobností bydlet se svým devětadvacetičlenným týmem pod krycím jménem v některém z pražských hotelů .",O O O B-PER O O O B-PER I-PER O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O
"Hrají : Jason Scott Lee , Cary Elwes , Lena Headeyová . - ci 9 / 95 NOVA",O O B-PER I-PER I-PER O B-PER I-PER O B-PER I-PER O O O O O O B-ORG
"Co si počít ?",O O O O
"Na základě usnesení valné hromady založila Solo Sušice 1 . července z bývalých divizí čtyři akciové společnosti Solo Sirkárna , Sololit , Dřevařská výroba Sušice a Sušická strojírna se stoprocentní účastí mateřské společnosti .",O O O O O O B-ORG I-ORG O O O O O O O O O B-ORG I-ORG O B-ORG O B-ORG I-ORG I-ORG O B-ORG I-ORG O O O O O O
"Telefonát jednoho ze zakladatelů Porty Miloslava Langra , přenášený na Lochotín z Mnichova ( v kostce : stále tu vládne komunisticko - vekslácká mafie ) , působil dolejšovsky lacině a jakoby statečně snad jen pro lidi , kteří , podobně jako pan Langer , žijí někde jinde .",O O O O B-ORG B-PER I-PER O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O
"Jak je kosí tuberkulóza .",O O O O O
"Chybět bude jen Petrouš ( sádra ) , letí tedy i zahraniční posily Binič a Tatarčuk .",O O O B-PER O O O O O O O O O B-PER O B-PER O
""" Nebylo to správné rozhodnutí , "" uzavřel Lang svůj příspěvek , "" ale dnes už je pro mě pozdě ho napravovat . """,O O O O O O O O B-PER O O O O O O O O O O O O O O O
"Chystal se odejít za bratrem .",O O O O O O
"Zasáhli u pořadu z Františka Halase Naše paní Božena Němcová , což bylo v dobách prehistorie souboru .",O O O O B-PER I-PER B-MISC I-MISC I-MISC I-MISC O O O O O O O O
