index,sentence,ner
122,Samo uz novi mentalitet možemo stvarati bolje odluke i mjere koje će poboljšati kvalitetu institucija i time stvoriti bolje prilike za stvaranje vrijednosti .,O O O O O O O O O O O O O O O O O O O O O O O O
9,Konsolidirana osnovica poreza na dobit ) ( CCCTB ) prilagođena je u okviru ireg paketa reformi poreza na dobit .,O O O O O O O B-MISC O O O O O O O O O O O O
412,"Idem provjerit , rana je ura i vjerovatno vas nema puno online .",O O O O O O O O O O O O O
283,Tako bi se nalozi za zamravanje imovine koje je izdala jedna zemlja brzo počeli primjenjivati u svim članicama .,O O O O O O O O O O O O O O O O O O O
240,Na raspolaganje će biti stavljeno vie podataka o visokim standardima EU za dobrobit životinja .,O O O O O O O O O O B-LOC O O O O
728,„ Uvijek će biti iznimki .,O O O O O O
784,Donald Trump - Crno ili bijelo,B-PER I-PER O O O O
545,"Tu su divljali Indijanci , lovili bizone , jeli bizone i jeb*li se s bizonima ! - ispalio je Trump i izgubio par postotaka podrške od indijanskih plemena , pa nastavio . - Split je kako rekoh tisućljetni grad .",O O O B-PER O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O B-LOC O O O O O O
175,"Što se tiče teških čeličnih ploča , njihov uvoz još od kolovoza podliježe službenoj registraciji , a temeljem toga carine mogu biti primjenjene i retroaktivno u konačnoj fazi .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
63,"Europska Komisija smatra se „ najeuropskijom “ institucijom , budući da njezini članovi , iako državljani članica EU , ne predstavljaju u tom tijelu države , već promiču interese EU , pri čemu im je zajamčena potpuna neovisnost .",B-ORG I-ORG O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O B-LOC O O O O O O O O O
466,"Njegovo bogatstvo sada se procjenjuje na 3,7 milijarda dolara u odnosu na 4,5 milijarda koliko je iznosilo u ožujku .",O O O O O O O O O O O O O O O O O O O O
778,Naravno da želim jednaka prava za žene .,O O O O O O O O
726,Većina parlamentaraca je ipak bila protiv toga govoreći da bi mu se trebao dopustiti ulazak u zemlju kako bi se njegove ideje mogle otvoreno raspravljati i diskreditirati .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
528,"Prolazeći kroz predvorje Trump Towera , West je okupljene pozdravio sa suzdržanim ' Hej ' te je pozirao za fotografije .",O O O O O O B-PER O O O O O O O O O O O O O O
15,Komisija je uputila službenu opomenu Hrvatskoj jer još nije prenijela te mjere u svoje zakonodavstvo .,B-ORG O O O O B-LOC O O O O O O O O O O
13,"Nakon što je objavila rujanski paket povreda propisa po državama članicama , u slučaju naše zemlje Europska komisija je utvrdila povrede u nekoliko sektora .",O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O
597,"Podsjetimo se , nakon pobjede Brexita na referendumu u Velikoj Britaniji koja je rezultirala britanskim izlaskom iz Europske unije , a kojeg je svojski , još iz EU Parlamenta zagovarao Nigel Farage , on sam je podnio ostavku na mjesto šefa UKIP-a ( UK Independence Party ) , iznenadivši time svoje pristaše i obožavatelje .",O O O O O B-MISC O O O B-LOC I-LOC O O O O O O B-ORG I-ORG O O O O O O O O B-ORG I-ORG O B-PER I-PER O O O O O O O O O B-ORG O B-ORG I-ORG I-ORG O O O O O O O O O
413,Edit : dobro bi bilo pročitat topic prije nego pitam .,O O O O O O O O O O O
502,"Razmetljivi Trump , koji živi u raskošnom trokatnom apartmanu na vrhu vlastita nebodera u New Yorku , tvrdi da vrijedi barem deset milijardi .",O B-PER O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O
