index,sentence,ner
5638,Mamy obecnie dzięki jednolitemu rynkowi wielką wymianę handlową między Wielką Brytanią a pozostałymi państwami członkowskimi UE .,O O O O O O O O O B-LOC I-LOC O O O O B-ORG O
7278,"Koszt to 72,5 funta za osobę",O O O O O O
5873,W Szkocji za Brexitem opowiedziało się jedynie 38 proc . głosujących .,O B-LOC O B-EVT O O O O O O O O
11605,Wiele kwestii dotyczących stosunków celnych i podatkowych po Brexicie pozostaje jeszcze do ustalenia między Brukselą a Londynem .,O O O O O O O O B-EVT O O O O O B-LOC O B-LOC O
15373,Rzeczpospolita /,B-PRO O
1443,"Mimo to obecny premier Pakistanu , Imre Khan , już w kampanii wyborczej mówił , że sprzeciwia się zmianie przepisów karnych dotyczących bluźnierstwa .",O O O O B-LOC O B-PER I-PER O O O O O O O O O O O O O O O O
5490,"– Od początku procesu Brexitu priorytetowo traktowałam traktowała m kwestię praw obywateli Unii Europejskiej , bo doceniam ich ogromny wkład w Wielką Brytanię .",O O O O B-EVT O O O O O B-ORG I-ORG O O O O O O O B-LOC I-LOC O
6816,"Podobnie jak urzędnicy unijni innych narodowości , nie mogą oni uzyskać prawa stałego pobytu Belgii po pięciu latach mieszkania w tym kraju , gdyż ich formalny status wyklucza ich z zasad lokalnej rezydencji podatkowej .",O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O
8725,"Wygłaszają niepopularne opinie , niektórzy skarżą się na to , że imigranci zabierają im pracę .",O O O O O O O O O O O O O O O O
11064,Sprawa jest zupełnie jasna – po prostu kończy się obecność Wielkiej Brytanii w Unii Europejskiej – nie pozostawił złudzeń minister Le Drian .,O O O O O O O O O O B-LOC I-LOC O B-ORG I-ORG O O O O O B-PER I-PER O
6894,"Następnie , oficjalna informacja Wielkiej Brytanii o chęci wystąpienia z UE .",O O O O B-LOC I-LOC O O O O B-ORG O
2947,"Jeśli chodzi o prawa Europejczyków , w tym Polaków , to będą oni je mieli zagwarantowane .",O O O O B-PER O O O B-PER O O O O O O O O
1858,Handel będzie bardziej skomplikowany i bardziej kosztowny .,O O O O O O O O
12336,"Naukowiec uważa , że jeśli ktoś nie chce się zaszczepić , to znajdzie argument .",O O O O O O O O O O O O O O O
7892,Wielka Brytania rozpoczęła proces wyjścia z UE 29 marca ub.r . i powinna opuścić Wspólnotę 29 marca 2019 roku .,B-LOC I-LOC O O O O B-ORG O O O O O O O B-ORG O O O O O
4196,Powstanie system rejestracji,O O O
12084,Kolejność szczepień na COVID - 19 w Polsce .,O O O B-EVT I-EVT I-EVT O B-LOC O
21193,"Michigan to jeden ze swing states , czyli stanów wahających się , w których liczba wyborców głosujących na Demokratów i Republikanów jest podobna .",B-LOC O O O O O O O O O O O O O O O O O B-ORG O B-ORG O O O
147,"Ciesząc się nimi i tym , że możemy obchodzić je w spokoju i radości , pamiętajmy o naszych braciach w wierze , którzy celebrują je w dalekich krajach , będąc w nich wyraźną religijną mniejszością .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
7590,"Brytanii - nawet jeśli te pięć lat upłynie po zakończeniu okresu przejściowego , np . w grudniu 2025 r .",O O O O O O O O O O O O O O O O O O O O
7629,"Unia powinna , albo zwiększyć budżet , albo zlikwidować pewne programy – powiedziała podczas szczytu głów państw UE w Brukseli Dalia Grybauskaitė .",B-ORG O O O O O O O O O O O O O O O O B-ORG O B-LOC B-PER I-PER O
7026,Brexit . Cła z Wielką Brytanią .,B-EVT O O O B-LOC I-LOC O
