index,sentence,ner
8974,"E , sad znate moju dijagnozu pa ćete neke stvari lakše razumjeti .",O O O O O O O O O O O O O
17962,Pozivao si me na ples sa zvjezdama .,O O O O O O O O
1544,"Kada je riječ o širem pitanju decentralizacije , dvije strane ostaju znatno udaljene u svojim stajalištima .",O O O O O O O O O O O O O O O O O
7165,Zidar Mato Luladžić popravio je na opće zadovoljstvo kapelu svetog Luke u Šagovini za 65. f . i 25 x . Listopad 1888. .,O B-PER I-PER O O O O O B-LOC I-LOC I-LOC O B-LOC O O O O O O O O O O O
12289,"Predavanja uključuju niz tema važnih za prevođenje , kao što su hrvatski i talijanski jezični standard i komunikacijska praksa , prevoditeljske tehnike i pomagala , primjena računala , Europska unija i njezine institucije i karakteristični aspekti jezika pojedinih struka .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O
22166,"Ako praštam , ako ne mrzim , ja sam svoja .",O O O O O O O O O O O
17513,"Čežnju je iznjedrila , treperavu i meku da u svim ljudima njena želja sniva da se pretvara u životnu rijeku i ljubav u kapima skriva .",O O O O O O O O O O O O O O O O O O O O O O O O O O
685,KPS su lokalne policijske snage uspostavljene 1999. godine .,B-ORG O O O O O O O O
20477,Je li njen otac radi ?,O O O O O O
6076,Usklađivanje gospodarske neravnoteže i provedba novih fiskalnih pravila neće biti nimalo laki .,O O O O O O O O O O O O O
5208,"Gledam one u Saboru , oporba želi da ode Vlada .",O O O B-ORG O O O O O B-ORG O
14496,Njih sa sigurnošću preporučaju stručnjaci .,O O O O O O
13689,"Osim što je idealan izbor za grickanje između obroka , dodavanje punomasnog sira najjednostavniji je način da se poboljša okus bilo kojeg jela .",O O O O O O O O O O O O O O O O O O O O O O O O
19501,"Što god , ovdje je sve dopušteno .",O O O O O O O O
5113,"Ipak , sposobnost osjećanja tuđih emocija ima i negativnu stranu .",O O O O O O O O O O O
12911,"' Jedna rolica ovog ukusnog zalogaja ima i do 350 kalorija ugljične vrijednosti što se može mjeriti s 2 i pol do 4 šnite kruha ' , naglašava Beller .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O
19522,Papagaji noću ne vide i imaju približno isti broj tih stanica kao mi .,O O O O O O O O O O O O O O
6712,"Što je s revitalizacijom stare gradske jezgre , parkiralištem ispod Poljane , vraćanjem otoka Obonjana , ...",O O O O O O O O O O B-LOC O O O B-LOC O O
5137,"Izučavanju alternativnih metoda liječenja Diana Mihok posvetila se kad je shvatila da joj klasična medicina ne može dati odgovore na sva pitanja o uzrocima bolesti : Medicina je previše subspecijalizirana , čak toliko da se izgubio čovjek kao cjelina .",O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2435,"Procjenjuje se kako se cijene nafte u svijetu neće mijenjati onoliko koliko su se mijenjale u 2005. godini , čime će biti riješen drugi inflatorni čimbenik .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
22091,Uvijek .,O O
759,"Vidno ožalošćen i potresen smrću Vassilakisa , obećao je kako će oni koji se nalaze iza napada biti izvedeni pred lice pravde .",O O O O O B-PER O O O O O O O O O O O O O O O O O
8030,Za to vrijeme umjetnici bi se trebali donekle etablirati tj. ostvariti određene kontakte unutar scene koji bi im financijski omogućavali uzdržavanje .,O O O O O O O O O O O O O O O O O O O O O O
9810,dobar ( 3 ),O O O O
8562,Ukrajinski jezik je po broju govornika drugi slavenski jezik i pripada skupini istočnoslavenskih jezika .,O O O O O O O O O O O O O O O
14431,Je li moguće da je na vrućem pijesku Hassanije čak i slavni Hercule Poirot izgubio pravi trag ?,O O O O O O O O B-LOC O O O B-PER I-PER O O O O
23973,"- Ne , ne - nasmijao se doktor .",O O O O O O O O O
24484,Znači da će prva verzija dostupna za kupnju biti u beta ili čak alpha fazi razvoja .,O O O O O O O O O O O O O O O O O
23614,Na to bi se trebali jako usredotočiti jer količina detalja i rezolucije sada na konzolama su jako slabašne .,O O O O O O O O O O O O O O O O O O O
8964,Pojasnit ću .,O O O
16465,POSLOVNI ANĐELI USKORO PREDSTAVLJAJU TREĆI PROJEKT,B-ORG I-ORG O O O O
22403,Možda si imao loš dan kako kaže Uzorita pa si se malo istresao na mom blogu ja ti ne zamjeram zato blogovi i postoje,O O O O O O O B-PER O O O O O O O O O O O O O O O O
11375,"' Pobjede u Singapuru i Japanu , a također i drugo mjesto u Brazilu dokaz su koliko dobri možemo biti .",O O O B-LOC O B-LOC O O O O O O O B-LOC O O O O O O O
19499,A povjeriti se nekome ne mogu .,O O O O O O O
310,"Milan Ivanović , jedan od predstavnika Srba sa sjevera Kosova , gdje ne djeluju kosovske institucije , izjavio je kako su sporazumi štetni za srpsko stanovništvo te učvršćuju državnost Prištine .",B-PER I-PER O O O O B-PER O O B-LOC O O O O O O O O O O O O O O O O O O O B-LOC O
15250,"LG se sada nalazi na trećoj poziciji s 21,1 milijuna isporučenih mobitela ( udio je sada 5,4 posto ) , a do nezadovoljstva dolazi i zbog činjenice kako im je isporuka pala za 25,5 posto u odnosu na prošlu godinu .",B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
10067,"Haški sud ( ICTY ) u ponedjeljak je počeo suditi kosovskom Albancu Beqa Beqaju , optuženom za nepoštivanje suda zbog prijetnji svjedocima optužbe u postupku protiv bivšeg zapovjednika OVK-a Fatmira Limaja i ostalih .",B-ORG I-ORG O B-ORG O O O O O O O B-PER B-PER I-PER O O O O O O O O O O O O O O B-ORG B-PER I-PER O O O
3888,Sveukupno razvijatelji aplikacija očekuju veliki rast poslovanja sljedeće godine .,O O O O O O O O O O
3932,"Dapače , što je više servera u igri , opća situacija je bolja .",O O O O O O O O O O O O O O
16824,"Ma , barem ...",O O O O
5374,"Sve vam to , također uz mnogo pažnje , treba da izbjegnete opasnosti sadašnje krize .",O O O O O O O O O O O O O O O O
16986,"Ovo dostojanstvo djece Božje još nije konačno , dok smo u zemaljskom proputovanju .",O O O O O O O O O O O O O O
18391,"Nastavnici sami sastavljaju kurikulume koje podastiru Ministarstvu , umjesto da bude obrnuto .",O O O O O O O O O O O O O
19100,pokreću se opruge njegove,O O O O
469,""" Ljudi sa strane mogu pomoći , ali zainteresirane strane moraju prikupiti viziju , hrabrost i političku volju potrebnu za postizanje sporazuma , sa svim elementima koje podrazumijeva kompromis "" , kazao je Prendergast .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O
22459,"I danas se samo priča o pravima koje svatko ima , a dužnosti se uredno zanemaruju",O O O O O O O O O O O O O O O O
16300,"Priznajem , tu ima prostora za diskusiju , ali moje je osobno mišljenje , temeljeno na mnogo sati rada sa različitim programerima i poslovnim analitičarima , da se bolji rezultati postižu ako se programer bez posrednika upozna sa načinom rada krajnjeg korisnika .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
12952,"Rejverice , grungerice i šminkerice svoje su sitnice pospremale u torbe nošene na leđima koje smo u školskim danima , kada su služile za transport knjiga , blago rečeno prezirale .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
212,""" Hrvatska ima dobre izglede na napredak , ali i mnogo posla pred sobom , primjerice , u reformi pravosuđa i javne uprave te borbi protiv korupcije "" , izjavio je povjerenik EU za proširenje Olli Rehn nakon razgovora s hrvatskim ministrom vanjskih poslova Gordanom Jandrokovićem .",O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O B-PER I-PER O O O O O O O B-PER I-PER O
13067,Moja je mama također često radila maneštru i to od graha s ječmom ili s repom ili pak kiselim zeljem što se kod nas zvalo grah sa zeljem a u Istri bi se zvalo jota .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O
10223,"Jednu smo prošle godine otvorili , a još tri su ostale .",O O O O O O O O O O O O
17925,Pišem ljubavnu pjesmu tvom imenu u kojem se zrcali fontana svjetlosti mladog dana punog tvoje postojanosti .,O O O O O O O O O O O O O O O O O
2464,"U ponedjeljak [ 11. siječnja ] , skupina od 200 srpskih intelektualaca pozvala je na referendum o članstvu u NATO-u , tvrdeći kako se beogradske vlasti tajno kreću ka Savezu .",O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O B-ORG O
23171,"Pločasti radijatori u odnosu na člankaste imaju nekoliko osnovnih prednosti kao što su : manje ugradbene dimenzije ( posebice dubina ) glatka površina za izmjenu topline čime se olakšava održavanje i čišćenje pa se ostvaruje mnogo veća higijenska razina uporabe kompaktna izvedba čime se olakšava odabir , isporuka i ugradnja .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
10503,"Ne propustite ovaj uzbudljivi spoj hrvatskog talenta , naše prošlosti i budućnosti .",O O O O O O O O O O O O O
16,"Većina proizvodnih tvrtki više ne postoji ili se koriste za skladištenje robe ; učinkovitost kao koncept , čini se , bile su samo riječi , a nezaposlenost se produbljuje .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
23867,"Ali takav oblik ateizma , primitivan oblik , ja ne priznajem kao uvjerenje .",O O O O O O O O O O O O O O
1750,"Kao dio sporazuma , vlasti su instalirale oko 6.000 licenciranih verzija Microsoftovog softvera , u ukupnoj vrijednosti oko 3 milijuna eura .",O O O O O O O O O O O B-ORG O O O O O O O O O O
7356,Sve to se odražava na meso .,O O O O O O O
20283,Trebaš u tekstu imati ovo : [IMG]http://www.ugcs.caltech.edu/st-tng/pics/fed_logo.gif[/IMG],O O O O O O O
8276,"Manin je znanstvenicima uveo obavezan radni ponedjeljak i petak unutar prostora Instituta , dok su ostale dane dužni provoditi u arhivu , knjižarama , na terenu ...",B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
147,"Nažalost , Grčka kao punopravna članica Saveza prijeti kako će upotrijebiti veto .",O O B-LOC O O O B-ORG O O O O O O
