index,sentence,ner
2941,"Njega su toplo primili predstavnici bošnjačke zajednice , a sastao se i sa drugim visokim zvaničnicima i političarima , uključujući visokog predstavnika u BiH Valentina Incka .",O O O O O O O O O O O O O O O O O O O O O O O B-LOC B-PER I-PER O
3692,""" Sa 20.000 ljudi u Bugarskoj kojima su zbog velikih poplava potrebni hrana , dušeci , vakcine protiv hepatitisa , antibiotici i sredstva protiv insekata , agencije UN-a nastaviće da obezbeđuju hitnu pomoć "" , navodi se u saopštenju svetske organizacije izdatom u četvrtak .",O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O
645,"U kategoriji do 96 kilograma , Kalojan Dinčev izgubio je od Čeha Mareka Šveca 3-1.",O O O O O O B-PER I-PER O O O B-PER B-PER I-PER O
2646,Irski premijer Brajan Kauen ( levo ) razgovara sa predstavnicima medija na konferenciji za novinare sa kosovskim predsednikom Fatmirom Sejdiuom ( u sredini ) i premijerom Hašimom Tačijem u ponedeljak ( 22. decembar ) u Prištini .,O O B-PER I-PER O O O O O O O O O O O O O O B-PER I-PER O O O O O O B-PER I-PER O O O O O O O B-LOC O
538,"Preko 15 godina grad je uživao reputaciju odličnog lekovitog centra , sa izvorskim vodama i lekovitom prosečnom temperaturom od 45 do 55 stepeni Celzijusa .",O O O O O O O O O O O O O O O O O O O O O O O O O
3758,OHR je uspostavljen u decembru 1995. godine kao privremena misija zadužena za implementaciju civilnih aspekata Dejtonskog mirovnog sporazuma kojim je okončan sukob u BiH 1992-1995.,B-ORG O O O O O O O O O O O O O O B-MISC I-MISC I-MISC O O O O O B-LOC O
344,"U duhu kompromisa , vlasti su predložile da se pomoć otpremi korišćenjem postojećih kanala koji su prihvatljivi Izraelu .",O O O O O O O O O O O O O O O O O B-LOC O
2977,""" Ona je predivna nežna devojka koja neće povrediti bilo koga i ja je volim "" , rekla je ona .",O O O O O O O O O O O O O O O O O O O O O
2681,Ministar sporta Faruk Ozak kaže da u pravnom sistemu zemlje još uvek ne postoje jasne kazne za nameštanje utakmica i obećava izmene Krivičnog zakona Turske uz dodavanje oštrijih kazni .,O O B-PER I-PER O O O O O O O O O O O O O O O O O O B-MISC I-MISC I-MISC O O O O O
2498,Mnogi su se žalili Komisiji za državnu službu .,O O O O B-ORG I-ORG I-ORG I-ORG O
711,"Na sastanku sa srpskim ministrom za Kosovo Slobodanom Samardžićem u nedelju ( 16. marta ) , on je ukazao na nedavni govor srpskog ministra inostranih poslova Vuka Jeremića pred Savetom bezbednosti UN koji je rekao da UNMIK ima isključivu administrativnu nadležnost na Kosovu i da je Rezolucija 1244 UN jedini pravni okvir koji bi trebalo da se primenjuje .",O O O O O O B-LOC B-PER I-PER O O O O O O O O O O O O O O O O O B-PER I-PER O B-ORG I-ORG I-ORG O O O O B-ORG O O O O O B-LOC O O O B-MISC I-MISC I-MISC O O O O O O O O O O
2989,""" Nilski konji znaju da budu prgavi , ali i zato što vrte repom kao sečivom rotora kada vrše nuždu .",O O O O O O O O O O O O O O O O O O O O O
