sentence,ner
"Borussia Dortmund ( 1 )",B-ORG I-ORG O O O
"Anadrini është hapësirë rreth Drinit të Bardhë .",O O O O B-LOC I-LOC I-LOC O
"RIDREJTO Imam Malik ibn Enes",O B-PER I-PER I-PER I-PER
"RIDREJTO 100 Lekë ( 2000 )",O B-ORG I-ORG I-ORG I-ORG I-ORG
"Rubens Barrichello",B-PER I-PER
"Orivesi ( 9,582 )",B-LOC O O O
"Në filmat e X-Men ajo paraqiti në të tre pjesat personazhin Rogue .",O O O B-PER O O O O O O B-PER B-PER O
"Ai është gjithashtu mjek oftalmolog dhe i biri i ish-Kongresmenti nga Texasi , Ron Paul .",O O O O O O O O O O O O O B-PER I-PER O
"=== Portierët e zgjedhur IFFHS ===",O O O O B-ORG O
"Tunizia",B-LOC
"Suedia -",B-LOC O
"25px]] Juan Pablo Montoya",O B-PER I-PER I-PER
"Portugalia –",B-LOC O
"Kryeqëndra e kantonit është Angers .",O O O O B-LOC O
"RIDREJTO Njësia administrative Selishtë",O B-LOC I-LOC I-LOC
"RIDREJTO Instituti i statistikës",O B-ORG I-ORG I-ORG
"The New York Times",B-ORG I-ORG I-ORG I-ORG
"India",B-LOC
"RIDREJTO Kombëtarja sanmarineze e futbollit",O B-ORG I-ORG I-ORG I-ORG
"Cynthia Klitbo ... . Raquela Villaseñor",B-PER I-PER O O O O
"RIDREJTO Massachusetts Institute of Technology",O B-ORG I-ORG I-ORG I-ORG
"Spanja",B-LOC
"The New York Times",B-ORG I-ORG I-ORG I-ORG
"RIDREJTO Ebu Hydhejfe ibn Utba",O B-PER I-PER I-PER I-PER
"Shën Vincenti dhe Grenadinet",B-LOC I-LOC I-LOC I-LOC
"Bomber",B-ORG
"Gambia",B-LOC
"KS Besa",B-ORG I-ORG
"Suedia –",B-LOC O
"Ekonomia e Britanisë së madhe",B-ORG I-ORG I-ORG I-ORG I-ORG
"Pas viteve ’90 , ashtu si në të gjithë vendin edhe në FA u kryen një sërë reformash .",O O O O O O O O O O O O B-ORG O O O O O O
"Max Verstappen",B-PER I-PER
"Guvernator - Sir James Carlisle ( 1993–2007 )",O O B-PER I-PER I-PER O O O
"Islanda",B-LOC
"Observatori Pierre Auger",B-ORG I-ORG I-ORG
"1913-1921 Thomas Woodrow Wilson",O B-PER I-PER I-PER
"Carlo Azeglio Ciampi ( 1999–2006 )",B-PER I-PER I-PER O O O
"President - Shimon Peres ( 2007–2014 )",O O B-PER I-PER O O O
"Atlético Madrid",B-ORG I-ORG
"Falling into Infinity",B-ORG I-ORG I-ORG
"Kobe Bryant",B-PER I-PER
"Etiopia -",B-LOC O
"Greqia -",B-LOC O
"Agron Sulaj ( 1985–1988 )",B-PER I-PER O O O
"Ansi Agolli",B-PER I-PER
"Rumania -",B-LOC O
"Alfa Romeo",B-ORG I-ORG
"Me ndihmën e Atenës nën Trojë Diomedi , udhëheqësi i argeasve plagosi me shtizë .",O O O O O B-LOC B-PER O O O O O O O O
"Alavus ( 12,354 )",B-LOC O O O
"Andorra",B-LOC
"Mauritania",B-LOC
"Xhamia e Re ( Selanik )",B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"2006 FIFA Kupa e Botës",B-ORG I-ORG I-ORG I-ORG I-ORG
"Astrit Patozi ( kryetar )",B-PER I-PER O O O
"*Kryeministër - Otto von Bismarck ( 1862–1873 )",O O B-PER I-PER I-PER O O O
"Ai është thirrur për të luajtur në Kupën e Botës 1998 , Euro 2000 , Kupën e Botës 2002 dhe në Kupën e Botës 2006 .",O O O O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG I-ORG I-ORG O O B-ORG I-ORG I-ORG I-ORG O
"Siguron zbatimin e rendit ushtarak gjatë zhvillimit të stërvitjeve , veprimtarisë dhe ceremonive ushtarake të organizuara nga SHPFA .",O O O O O O O O O O O O O O O O O B-ORG O
"The Best Of Motörhead",B-ORG I-ORG I-ORG I-ORG
"Branko Crvenkovski ( 1992–1998 )",B-PER I-PER O O O
"Kultura e Britanisë së Madhe",B-ORG I-ORG I-ORG I-ORG I-ORG
"Kryeministër – David Lloyd George ( 1916–1922 )",O O B-PER I-PER I-PER O O O
"RIDREJTO L. L. Zamenhof",O B-PER B-PER I-PER
"Grenada",B-LOC
"Palestina ( shtet me njohje të kufizuar )",B-ORG O O O O O O O
"RIDREJTO Mirza Beshirudin Mahmut Ahmet",O B-PER I-PER I-PER I-PER
"Monark - Elizabeth II , Mbretëresha e Belizas ( 1981–sot )",O O B-PER I-PER O O O O O O O
"Atlético Madrid",B-ORG I-ORG
"Hamdi Salihi",B-PER I-PER
"RIDREJTO Stadiumi Niko Dovana",O B-ORG I-ORG I-ORG
"Japonia",B-LOC
"Zëvendës i tij bëhet i vëllai , Mikel Kodheli .",O O O O O O O B-PER I-PER O
"5 dite më vonë , ai shënoi 2 Gola të tjerë në fitoren e Barçs kundër Real Zaragoza .",O O O O O O O O O O O O O O O O B-ORG I-ORG O
"Koreja e Veriut",B-LOC I-LOC I-LOC
"Kryetari i Shtetit - Carlo Azeglio Ciampi ( 1999–2006 )",O O O O B-PER I-PER I-PER O O O
"RIDREJTO Sozialdemokratische Partei Deutschlands",O B-ORG I-ORG I-ORG
"Carl Friedrich Gauss",B-PER I-PER I-PER
"Izraeli",B-LOC
"Rezistenca shqiptare në Luftën e Dytë Botërore",B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Rrethi i Devollit , Rrethi i Kolonjës , Rrethi i Korçës , Rrethi i Pogradecit",B-LOC I-LOC I-LOC O B-LOC I-LOC I-LOC O B-LOC I-LOC I-LOC O B-LOC I-LOC I-LOC
"Real Sociedad",B-ORG I-ORG
"Hammered",B-ORG
"Sardenja -",B-LOC O
"President - Richard von Weizsäcker ( 1984–1994 )",O O B-PER I-PER I-PER O O O
"Kryeministër - Fidel Castro ( 1959–2008 )",O O B-PER I-PER O O O
"Ushtria Çlirimtare e Kosovës",B-ORG I-ORG I-ORG I-ORG
"RIDREJTO Stadiumi Laçi",O B-ORG I-ORG
"Jusuf Zejnullahu ( 1944– )",B-PER I-PER O O O
"Franca në shumë degë të industrisë zë një vend të shquar .",B-LOC O O O O O O O O O O O
"Rolin kryesore e luajn Brad Pitt dhe Bruce Willis .",O O O O B-PER I-PER O B-PER I-PER O
"Futsal Klub Tirana në Minifutboll ( Meshkuj )",B-ORG I-ORG I-ORG O O O O O
"Vietnami",B-LOC
"Kryeministër - Sam Hinds ( 1999–sot )",O O B-PER I-PER O O O
"Dr. Mihal Turtulli - ministër i Arsimit ;",O B-PER I-PER O O O O O
"Gjon Kastrioti ( 1389-1417 )",B-PER I-PER O O O
"Mihael Paher , skulptor dhe piktor gjerman",B-PER I-PER O O O O O
"100 Lekë ( 2000 )",B-ORG I-ORG I-ORG I-ORG I-ORG
"RIDREJTO Ekonomia e Ish Republikës Jugosllave e Maqedonisë",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Çadi",B-LOC
"Kim Possible ( - ) .",B-ORG I-ORG O O O O
