sentence,ner
"Evropska komisija mora narediti analizo vzrokov rasti cen hrane , menita kmetijski minister Jarc in njegov francoski kolega .",B-ORG I-ORG O O O O O O O O O O O B-PER O O O O O
"Bo evropska komisija analizirala vzroke rasti cen hrane .",O B-ORG I-ORG O O O O O O
"Evropska komisija bi morala narediti analizo vzrokov in posledic rasti cen hrane po posameznih sektorjih , sta po današnjem srečanju v Ljubljani povedala minister za kmetijstvo Iztok Jarc in njegov francoski kolega Michel Barnier .",B-ORG I-ORG O O O O O O O O O O O O O O O O O O O B-LOC O O O O B-PER I-PER O O O O B-PER I-PER O
"Sicer imata po njunih besedah Slovenija in Francija podobna stališča glede skupne kmetijske politike in podobne pomisleke glede reforme vina .",O O O O O B-LOC O B-LOC O O O O O O O O O O O O O
"Poudarila sta pomen dobrega sodelovanja med državama tudi na področju kmetijstva v času predsedovanja EU prihodnje leto .",O O O O O O O O O O O O O O B-ORG O O O
"Med možnimi ukrepi EU je Barnier omenil obnovo zemlje v prahi .",O O O B-ORG O B-PER O O O O O O
"Gre za štiri milijone hektarjev zemlje , obnova bi omogočila večjo proizvodnjo in s tem znižanje cen .",O O O O O O O O O O O O O O O O O O
"O tem bo Evropska komisija odločala septembra .",O O O B-ORG I-ORG O O O
"Možen ukrep so tudi dodatne kvote na področju mleka , je dejal .",O O O O O O O O O O O O O
"Zakaj cene hrane naraščajo",O O O O
"Strinjala sva se , da bi morala Evropska komisija narediti analizo vzrokov po posameznih sektorjih in analizo posledic takšnega dogajanja , je Barnier odgovoril na vprašanje , kaj lahko EU naredi za umiritev cen hrane .",O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O B-PER O O O O O O B-ORG O O O O O O
"Izpostavil je visoke stroške za pridelovalce mesa oz. perutnine in dejal , da bi bilo treba uravnotežiti posledice .",O O O O O O O O O O O O O O O O O O O
"Po Barnierjevem mnenju gre za trajnejše poviševanje cen in je treba najti ustrezne odgovore .",O B-PER O O O O O O O O O O O O O
"Kmetijski minister Iztok Jarc meni , da je treba odpreti razpravo o visokih cenah hrane tudi na evropski ravni .",O O B-PER I-PER O O O O O O O O O O O O O O O O
"Tudi Jarc meni , da treba odpreti razpravo o visokih cenah hrane tudi na evropski ravni .",O B-PER O O O O O O O O O O O O O O O
"Sicer je , kot pravi , težko napovedati , ali se bodo napovedi o rasti cen v prihodnje uresničile , bo pa ministrstvo v vsakem primeru pozorno spremljalo dogajanje in poskušalo ustrezno reagirati .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Podobne usmeritve Slovenije in Francije",O O B-LOC O B-LOC
