sentence,ner
"Proces privatizacije na Kosovu pod povećalom",O O O B-LOC O O
"Kosovo ozbiljno analizira proces privatizacije u svjetlu učestalih pritužbi .",B-LOC O O O O O O O O O
"Barem na papiru , izgleda kao odlična ideja .",O O O O O O O O O
"Vlada prodaje poduzeća , rješava se opterećenja njihovog upravljanja , a novac od prodaje pomaže punjenju državnog proračuna .",O O O O O O O O O O O O O O O O O O O
"Ali na Kosovu , kritičari kažu da je pravni proces koji se odnosi na privatizaciju složen i politički naelektriziran , što ima dugoročan utjecaj na gospodarstvo .",O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O
"Kažu da neki vlasnici i zaposlenici mogu iskoristiti određene rupe u zakonu dok drugi ne dobivaju gotovo ništa .",O O O O O O O O O O O O O O O O O O O
"A postoji i etnička komponenta , s obzirom da pojedinci iz različitih zajednica mogu reći da diskriminacija -- bilo sada ili ranije -- utječe na mogućnost da izvuku korist iz privatizacije .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Esat Berisha je jedan takav primjer .",B-PER I-PER O O O O O
""" Moj je otac radio u tvrtki Hidroteknika , [ kao i ja ] do prosinca 1990. godine , ali onda sam izgubio posao zato što su nas srpske vlasti otpustile .",O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O
"Nadao sam se da ću nakon rata dobiti natrag svoj posao , ali to se nije dogodilo . """,O O O O O O O O O O O O O O O O O O O
"Nakon što je Hidroteknika privatizirana 2006. godine , "" nisam dobio nikakvu naknadu , a najgore je to što tvrtka više ne postoji , s obzirom da je novi vlasnik promijenio njezinu namjenu "" , rekao je Berisha za SETimes .",O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O B-ORG O
"U nekim slučajevima , tvrtke su kupovane više zbog zemljišta nego zbog želje da se nastavi s radom .",O O O O O O O O O O O O O O O O O O O
"On nije usamljen : diskriminatorni zakon koji je nametnuo Miloševićev režim primorao je tisuće Kosovara da napuste svoje poslove .",O O O O O O O O O B-PER O O O O B-PER O O O O O
"Osim toga , mnoge tvrtke koje su privatizirane promijenile su lokaciju poslovanja , i vrlo često se zaposleni , kao što je Berisha , brišu s isplatnih lista , što dovodi do čestih prosvjeda ispred Agencije za privatizaciju .",O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O B-ORG I-ORG I-ORG O
"Dardan Sejdiu , ekonomski stručnjak iz pokreta Vetvendosje , glasni je kritičar toga .",B-PER I-PER O O O O O B-ORG O O O O O O
""" Desetljeće kasnije , vidimo da je gospodarstvo užasno nestrukturirano .",O O O O O O O O O O O
