sentence,ner
"V peti sezoni so program izvedli v skladu z novim konceptom : v vsaki državi so izbrali enega mladega nogometaša , ki jo je predstavljal .",O O O O O O O O O O O O O O O O O O O O O O O O O O
"Za krupom zboli približno 15 % otrok , običajno v starosti od 6 mesecev do 5 – 6 let .",O O O O O O O O O O O O O O O O O O O O
"Znani nogometaši , vključno s srbskim branilcem Branislavom Ivanovićem in nizozemskim napadalcem Dirkom Kuytom , so se udeležili dogodkov po vsem svetu .",O O O O O O O B-PER I-PER O O O B-PER I-PER O O O O O O O O O
"Več kot 7000 ljudi je obiskalo premiero filma v Damasku .",O O O O O O O O O B-LOC O
"Vrhunec je bila slovesnost podelitve Pokala devetih vrednot , ki ga je osvojil nogometni klub Barcelona .",O O O O O B-MISC I-MISC I-MISC O O O O O O O B-ORG O
"Junija 2014 je kot vodja gibanja obiskal deveti mednarodni mladinski turnir v nogometu , ki je bil organiziran v spomin na Jurija Andrejeviča Morozova .",O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER O
"Dan nogometa in prijateljstva so praznovali v Nižnem Novgorodu in Kazanu .",O O O O O O O B-LOC I-LOC O B-LOC O
"Rezultat druge sezone programa je bila izvolitev vodje gibanja Nogomet za prijateljstvo .",O O O O O O O O O B-ORG I-ORG I-ORG O
"Potem je začel s študijem kemije pri Adolfu von Baeyerju in botanike pri Carlu Nägeliju na Inštitutu za botaniko v Münchnu .",O O O O O O O B-PER I-PER I-PER O O O B-PER I-PER O B-ORG I-ORG I-ORG O B-LOC O
"Pokal je osvojil nogometni klub Bayern .",O O O O O B-ORG O
"Rusijo je predstavljalo 11 nogometnih ekip iz 11 ruskih mest , ki bodo gostila tekme Svetovnega prvenstva FIFA 2018 .",B-LOC O O O O O O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O
"Leta 1914 je izbruhnila prva svetovna vojna .",O O O O O O O O
"Večina prebivalcev je katolikov .",O O O O O
"Člani vseh političnih skupin se sestanejo pred pomembnimi sejami , da bi oblikovali skupna stališča .",O O O O O O O O O O O O O O O O
