index,sentence,ner
5375,20 : 52 Європейські лоукостери поскаржилися на Францію через постійні страйки диспетчерів,O O O O O O O B-LOC O O O O
761,"Зазначається , що під час перехідного періоду , який триватиме 6 , 5 років з моменту проведення в Британії референдуму про вихід ЄС , Брюссель планує зобов’язати Лондон платити внески у бюджет Євросоюзу і слідувати всім правилам Співдружності .",O O O O O O O O O O O O O O O O O O B-LOC O O O B-LOC O B-LOC O O B-LOC O O O O B-LOC O O O O O O
1326,Підпільна вакцинація чиновників і бізнесменів ?,O O O O O O
7413,"Його звинувачують у підбурюванні до повстання після того , як цього місяця його прихильники штурмували Капітолій .",O O O O O O O O O O O O O O O B-LOC O
2261,"Добровольці , які брали участь у клінічних випробуваннях вакцини AstraZeneca , регулярно тестували себе на коронавірус .",O O O O O O O O O B-ORG O O O O O B-EVT O
444,Наступного тижня Мей поїде до Брюсселя для переговорів з головою Єврокомісії Жан-Клодом Юнкером .,O O B-PER O O B-LOC O O O O B-ORG O O O
4052,Саме Комісія наділена правом законодавчої ініціативи .,O B-ORG O O O O O
2110,Однією з головних тем останніх тижнів у контексті вакцинації стала ефективність вакцини .,O O O O O O O O O O O O O
4466,"Певно лише коли ставки почали переходити межу здорового ґлузду ( якщо 25 % по депозитам – якою має бути вартість кредитних коштів ) , державні органи почали принаймні звертати увагу на проблему .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
307,Основний документ становить 585 сторінок .,O O O O O O
2410,"30 грудня Україна підписала контракт з китайською компанією Sinovac про постачання 1 , 9 млн доз вакцини від коронавірусу .",O O B-LOC O O O O O B-ORG O O O O O O O O O B-EVT O
4953,"Але реально основними противниками Nord Stream - 2 стали Польща , чиї економічні інтереси проект прямо зачіпає , і ... досить несподівано — Данія .",O O O O B-ORG I-ORG I-ORG I-ORG O B-LOC O O O O O O O O O O O O O B-LOC O
3358,"Політична криза , вибухнула в березні 1999 р . і пов'язаний з цілою серією скандальних викриттів діяльності окремих членів Комісії , що викликав , в кінцевому рахунку , її колективну відставку , показав , що відповідні зобов'язання виконуються аж ніяк не всіма членами Комісії в повній відповідності з вимогами установчих актів .",O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O
8194,"Вони роблять ставку на підтримку чорношкірих виборців , які становлять не менше чверті усіх зареєстрованих виборців у штаті .",O O O O O O O O O O O O O O O O O O O
7893,"У соцмережах , на телебаченні і на прес - конференціях вони переконують публіку в тому , що вибори супроводжувалися безпрецедентними в американській історії фальсифікаціями , що зачіпають сотні тисяч або навіть мільйони голосів .",O O O O O O O O O O O O O O O O O B-EVT O O O O O O O O O O O O O O O O
1988,"Утім , цих перспектив зараз немає .",O O O O O O O
6154,"За цими даними , вирішальне , 51-ше місце в палаті , яка складається зі 100 сенаторів , здобув республіканець Пет Тумі , який у штаті Пенсильванія переміг кандидата демократів Кеті МакҐінті .",O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O B-LOC O O O B-PER I-PER O
3049,"Європейська комісія запропонує ввести безвізовий режим з Україною вже цього місяця - ЗМІ | Новини на Gazeta.ua Всі права на матеріали , які містить цей сайт , охороняються у відповідності із законодавством України , в тому числі , про авторське право і суміжні права .",B-ORG I-ORG O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
2989,"Мережа бере участь у реалізації рамкової програми CEPEJ "" Нова мета для судових систем : судовий розгляд у розумні строки "" .",O O O O O O O B-ORG O O O O O O O O O O O O O O
2393,""" Якщо ви розробили вакцину з дуже високою ефективністю , то не потрібна велика кількість цифр , щоб отримати чітку картинку .",O O O O O O O O O O O O O O O O O O O O O O
7020,"Представники кожного штату зобов'язані проголосувати так , як більшість його жителів , а кількість вибірників залежить від чисельності його населення .",O O O O O O O O O O O O O O O O O O O O O
1805,"Випробування препарату Novavax відбуваються не тільки в США , а й у Мексиці , Великій Британії і ПАР .",O O O O O O O B-LOC O O O O B-LOC O B-LOC I-LOC O B-LOC O
1148,"Йдеться про економіку , нормальну життєдіяльність людей , підвищення рівня стресу в суспільстві та лікування інших хвороб у медичних установах .",O O O O O O O O O O O O O O O O O O O O O
4155,Вип . 6 . Казань .,O O O O O O
2457,""" Буде вакцина ще одного виробника "" :",O O O O O O O O
1009,Препарат виявився дуже ефективним у не допущенні початку захворювання на COVID - 19 у важкій і помірній формі .,O O O O O O O O O O B-EVT I-EVT I-EVT O O O O O O
5606,При цьому найбільше рейсів - 250 - скасували у Німеччині .,O O O O O O O O O B-LOC O
7259,"20 листопада , 2020 , 08 : 10",O O O O O O O O
2370,"Але навіть якщо вони підтвердяться , вакцина все одно може допомогти країнам , які страждають від тяжкої хвилі пандемії , - кажуть дослідники .",O O O O O O O O O O O O O O O O O O B-EVT O O O O O
7792,"І уряд Сполучених Штатів цілком здатний вивести порушників з Білого дому "" , - заявив Бейтс , очевидно маючи на увазі президента - республіканця .",O O B-LOC I-LOC O O O O O B-ORG I-ORG O O O O B-PER O O O O O O O O O
7046,Очолюваний республіканцями Сенат в лютому 2020 року виправдав Трампа і він зберіг посаду .,O O B-ORG O O O O O B-PER O O O O O
8167,Голоси : 16,O O O
7931,В очікуванні реваншу,O O O
6334,"Під час передвиборчого заходу в штаті Айова Трамп заявив , що рівень його підтримки залишиться незмінним , навіть якщо він буде стріляти серед білого дня по мирних людям в Нью-Йорку .",O O O O O O B-LOC B-PER O O O O O O O O O O O O O O O O O O O O O B-LOC O
143,Новим міністром Великої Британії у Brexit призначили чиновника МОЗ,O O B-LOC I-LOC O B-EVT O O B-ORG
7521,"Телеканал CNN наводить схожі дані – у Байдена 50 , 4 % , а Трампа – 48 % .",O B-ORG O O O O O B-PER O O O O O O B-PER O O O O
2512,Ранок 20 січня .,O O O O
8283,Фото : REUTERS,O O B-ORG
5403,"В цілому у континентальній Європі можуть бути скасовані не менше 600 рейсів , і це може торкнутися , як повідомляється , понад 60 тис . пасажирів .",O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O
8273,"Тоді , чотири роки тому , перерахунку вимагала кандидат від Партії зелених Джил Стейн , яка отримала десь близько одного відсотка голосів .",O O O O O O O O O O B-ORG I-ORG B-PER I-PER O O O O O O O O O
7567,"Але Путін лише ускладнив пошук шляху до нормалізованих відносин , приєднавшись до спроб Трампа підірвати президентство Байдена з самого початку , адже Кремль не поспішав визнавати Байдена новим президентом США , таким чином підтримуючи Трампа .",O B-PER O O O O O O O O O O O B-PER O O B-PER O O O O O B-ORG O O O B-PER O O B-LOC O O O O B-PER O
5482,Ірландський лоукостер скасував 250 рейсів до та з аеропортів ФРН .,O O O O O O O O O B-LOC O
6248,"Щодо Вупі Голдберг , то ще в січні вона відреагувала на антимексиканські заклики Дональда Трампа .",O B-PER I-PER O O O O O O O O O O B-PER I-PER O
3062,Нардепи з Дніпропетровщини не стали виключенням .,O O B-LOC O O O O
3144,"Перш за все , Комісія , Палата або Комітет повинні переконатися в тому , що скаржник вичерпав усі внутрішні засоби правового захисту і що не минув шестимісячний строк оскарження останнього рішення в національному суді чи іншій національній інституції .",O O O O B-ORG O B-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
